map	world	npc	x	y	z	dir	respawn	despawn_at_other	gate
110010000	lc1	205549	1899.59082	1429.778931	590.651001	270	60	TRUE	SpecialServer_Cond == 0
110010000	lc1	209676	1369.088623	1479.311279	570.96698	0	1	TRUE	SpecialServer_Cond == 0
110010000	lc1	209808	1605.123047	1518.771606	575.000427	315	60	TRUE	SpecialServer_Cond == 1
110010000	lc1	209809	1607.334961	1501.52417	575.000427	45	60	TRUE	SpecialServer_Cond == 1
110010000	lc1	730218	1741.346558	2058.97876	520.0	30	60	TRUE	SpecialServer_Cond == 0
110010000	lc1	730946	1555.07251	1522.492432	570.52771	180	1	TRUE	GAB1_LIGHT_TELEPORTER_IN_PEACE_10111 == 1
110010000	lc1	730947	1558.518433	1516.386841	570.52771	180	1	TRUE	GAB1_LIGHT_TELEPORTER_IN_PEACE_10211 == 1
110010000	lc1	730948	1558.426514	1507.019165	570.52771	180	1	TRUE	GAB1_LIGHT_TELEPORTER_IN_PEACE_10311 == 1
110010000	lc1	730949	1554.826904	1501.122803	570.52771	180	1	TRUE	GAB1_LIGHT_TELEPORTER_IN_PEACE_10411 == 1
110010000	lc1	798378	1869.886597	2067.382324	518.912415	160	60	TRUE	SpecialServer_Cond == 0
110010000	lc1	798378	1870.30835	2068.456543	519.077881	160	60	TRUE	SpecialServer_Cond == 1
110010000	lc1	798408	1738.239624	2062.730225	519.0	30	60	TRUE	SpecialServer_Cond == 0
110010000	lc1	798408	1738.239624	2062.730225	519.467529	30	60	TRUE	SpecialServer_Cond == 1
110010000	lc1	798450	1885.473022	1479.048706	591.52301	180	60	TRUE	SpecialServer_Cond == 0
110010000	lc1	798451	1889.633667	1483.327393	591.52301	180	60	TRUE	SpecialServer_Cond == 0
110010000	lc1	798458	1459.353394	1496.15625	574.52002	160	120	TRUE	SpecialServer_Cond == 0
110010000	lc1	802020	1459.526367	1493.017456	574.138916	180	1	FALSE	TestServer_Cond == 1
110010000	lc1	831024	1347.6	1511.9	571.9	180	72000	TRUE	WorldRaid_underpass_0024 == 1
110010000	lc1	832826	1617.028687	1553.033691	573.817322	180	60	TRUE	(InterServer_Cond == 0) && (SpecialServer_Cond == 0)
110010000	lc1	832843	1620.046631	1521.448853	575.000427	180	60	TRUE	SpecialServer_Cond == 0
110020000	lc2	801216	2183.313232	1609.947632	1212.911377	240	60	TRUE	SpecialServer_Cond == 0
110020000	lc2	801217	2197.180664	1586.291748	1213.148438	180	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	205309	492.091644	251.65007	128.220001	180	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	205310	567.440857	323.231384	127.070137	180	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	205311	567.439392	326.537903	127.070137	180	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	205312	550.968384	340.177399	126.96888	270	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	205313	553.630127	340.185242	126.923668	270	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	205315	483.309052	251.072327	128.142258	180	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	205488	550.967957	309.589478	126.96888	90	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	205489	553.518921	309.585907	126.923668	90	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	207019	561.528992	316.712555	126.813957	150	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	207020	559.579529	335.093628	126.813957	220	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	207021	563.086792	318.388	126.783279	160	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	207022	562.011414	332.796967	126.783279	220	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	207023	559.890259	314.447357	126.681969	130	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	207024	558.580872	314.039154	126.8843	135	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	207031	567.485718	324.926361	126.958443	180	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	207121	604.726563	251.516617	128.638535	180	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	207125	604.726563	250.124725	128.638535	180	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	702556	509.372314	394.219696	127.563004	180	1	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	702647	503.52005	406.253052	128.760269	0	1	TRUE	(GAB1_LIGHT_MATCHMAKER_IN_PVP == 1) && (SpecialServer_Cond == 0)
110070000	arena_l_lobby	730424	443.878601	258.603699	129.934692	0	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	730425	459.836578	251.627304	129.22934	0	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	730430	513.445679	214.108383	129.934692	0	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	730461	488.990448	213.659607	129.645325	0	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	730481	599.141479	266.125183	132.50148	0	60	TRUE	SpecialServer_Cond == 0
110070000	arena_l_lobby	730483	599.4021	237.441071	129.934692	0	60	TRUE	SpecialServer_Cond == 0
