npc	pattern	handler	branch	priority	guards	order	kind	a1	a2	a3	place	x	y	z	group
203380	LGuard_GriffonPet	cycle	0	3	chance:50|timer:0	0	arm	0	15000	0		0.0	0.0	0.0	0
203380	LGuard_GriffonPet	cycle	0	3	chance:50|timer:0	1	skill	18353	0	0	ME	0.0	0.0	0.0	0
203380	LGuard_GriffonPet	cycle	1	2	timer:0	0	arm	0	15000	0		0.0	0.0	0.0	0
203380	LGuard_GriffonPet	cycle	1	2	timer:0	1	skill	16521	0	0	MOST_HATED	0.0	0.0	0.0	0
203380	LGuard_GriffonPet	cycle	2	1	timer:0	0	arm	0	3000	0		0.0	0.0	0.0	0
203380	LGuard_GriffonPet	on_enter_attack_state	0	4		0	arm	0	15000	0		0.0	0.0	0.0	0
204439	DGuard_ZaifPet	cycle	0	3	chance:50|timer:0	0	arm	0	15000	0		0.0	0.0	0.0	0
204439	DGuard_ZaifPet	cycle	0	3	chance:50|timer:0	1	skill	18354	0	0	MOST_HATED	0.0	0.0	0.0	0
204439	DGuard_ZaifPet	cycle	1	2	timer:0	0	arm	0	15000	0		0.0	0.0	0.0	0
204439	DGuard_ZaifPet	cycle	1	2	timer:0	1	skill	16531	0	0	MOST_HATED	0.0	0.0	0.0	0
204439	DGuard_ZaifPet	cycle	2	1	timer:0	0	arm	0	3000	0		0.0	0.0	0.0	0
204439	DGuard_ZaifPet	on_enter_attack_state	0	4		0	arm	0	15000	0		0.0	0.0	0.0	0
204440	DGuard_ZaifPet	cycle	0	3	chance:50|timer:0	0	arm	0	15000	0		0.0	0.0	0.0	0
204440	DGuard_ZaifPet	cycle	0	3	chance:50|timer:0	1	skill	18354	0	0	MOST_HATED	0.0	0.0	0.0	0
204440	DGuard_ZaifPet	cycle	1	2	timer:0	0	arm	0	15000	0		0.0	0.0	0.0	0
204440	DGuard_ZaifPet	cycle	1	2	timer:0	1	skill	16531	0	0	MOST_HATED	0.0	0.0	0.0	0
204440	DGuard_ZaifPet	cycle	2	1	timer:0	0	arm	0	3000	0		0.0	0.0	0.0	0
204440	DGuard_ZaifPet	on_enter_attack_state	0	4		0	arm	0	15000	0		0.0	0.0	0.0	0
207037	IDArena_pvp01_InviNPC_3	cycle	0	7	set_flag_var:1	0	skill	20408	0	0	ME	0.0	0.0	0.0	0
207037	IDArena_pvp01_InviNPC_3	cycle	0	7	set_flag_var:1	1	despawn_self	0	0	0		0.0	0.0	0.0	0
207037	IDArena_pvp01_InviNPC_3	on_enter_attack_state	0	7	set_flag_var:0	0	arm	0	3000	0		0.0	0.0	0.0	0
207037	IDArena_pvp01_InviNPC_3	on_enter_attack_state	0	7	set_flag_var:0	1	skill	20408	0	0	ME	0.0	0.0	0.0	0
207037	IDArena_pvp01_InviNPC_3	on_enter_attack_state	0	7	set_flag_var:0	2	skill	20408	0	0	ME	0.0	0.0	0.0	0
207037	IDArena_pvp01_InviNPC_3	on_enter_attack_state	0	7	set_flag_var:0	3	skill	20408	0	0	ME	0.0	0.0	0.0	0
207128	IDSeal_Twin_Trap	cycle	0	4	timer:0	0	arm	0	4000	0		0.0	0.0	0.0	0
207128	IDSeal_Twin_Trap	cycle	0	4	timer:0	1	skill	20767	0	0	ME	0.0	0.0	0.0	0
207128	IDSeal_Twin_Trap	on_enter_attack_state	0	3		0	arm	0	4000	0		0.0	0.0	0.0	0
207128	IDSeal_Twin_Trap	on_enter_attack_state	0	3		1	skill	20767	0	0	ME	0.0	0.0	0.0	0
207129	IDSeal_Twin_Trap	cycle	0	4	timer:0	0	arm	0	4000	0		0.0	0.0	0.0	0
207129	IDSeal_Twin_Trap	cycle	0	4	timer:0	1	skill	20767	0	0	ME	0.0	0.0	0.0	0
207129	IDSeal_Twin_Trap	on_enter_attack_state	0	3		0	arm	0	4000	0		0.0	0.0	0.0	0
207129	IDSeal_Twin_Trap	on_enter_attack_state	0	3		1	skill	20767	0	0	ME	0.0	0.0	0.0	0
207528	BGuard_FrostPillar	cycle	0	4	timer:0	0	arm	1	4000	0		0.0	0.0	0.0	0
207528	BGuard_FrostPillar	cycle	0	4	timer:0	1	skill	17141	0	0	ME	0.0	0.0	0.0	0
207528	BGuard_FrostPillar	cycle	1	3	timer:1	0	arm	2	4000	0		0.0	0.0	0.0	0
207528	BGuard_FrostPillar	cycle	1	3	timer:1	1	skill	17141	0	0	ME	0.0	0.0	0.0	0
207528	BGuard_FrostPillar	cycle	2	2	timer:2	0	skill	17141	0	0	ME	0.0	0.0	0.0	0
207528	BGuard_FrostPillar	cycle	2	2	timer:2	1	despawn_self	0	0	0		0.0	0.0	0.0	0
207528	BGuard_FrostPillar	on_enter_attack_state	0	7		0	arm	0	4000	0		0.0	0.0	0.0	0
207528	BGuard_FrostPillar	on_enter_attack_state	0	7		1	skill	17141	0	0	ME	0.0	0.0	0.0	0
209486	InvadePortal_TestKeeper02	cycle	0	20	hp_below:30|set_flag_var:1	0	sysmsg	1401494	0	0		0.0	0.0	0.0	0
