npc	pattern	handler	killer	branch	priority	guards	order	kind	a1	a2	a3	place	x	y	z	group
212130	ND2_EeE2	on_killed_by_user	KilledByPlayer	0	6		0	spawn	280813	2	30	for_the_fight_self	0.0	0.0	0.0	1
212206	D2_AnI	on_killed_by_user	KilledByPlayer	0	4		0	spawn	212207	1	600	for_the_fight_self	0.0	0.0	0.0	1
213776	IDDF3_NamedLFi	on_die	ANY	0	7		0	spawn	282155	1	10	for_the_fight_absolute	488.0	412.0	615.0	2
213776	IDDF3_NamedLFi	on_die	ANY	0	7		1	var	0	1	0	lastboss	0.0	0.0	0.0	0
213778	IDDF3_NamedNWi	on_die	ANY	0	7		0	spawn	282155	1	10	for_the_fight_absolute	488.0	412.0	615.0	2
213778	IDDF3_NamedNWi	on_die	ANY	0	7		1	var	0	1	0	lastboss	0.0	0.0	0.0	0
213778	IDDF3_NamedNWi	on_killed_by_user	KilledByPlayer	0	8		0	despawn	1	0	0		0.0	0.0	0.0	0
213779	IDDF3_NamedNKn	on_die	ANY	0	7		0	spawn	282155	1	10	for_the_fight_absolute	488.0	412.0	615.0	2
213779	IDDF3_NamedNKn	on_die	ANY	0	7		1	var	0	1	0	lastboss	0.0	0.0	0.0	0
213802	IDDF3_NamedNCh	on_die	ANY	0	7		0	spawn	282155	1	10	for_the_fight_absolute	488.0	412.0	615.0	2
213802	IDDF3_NamedNCh	on_die	ANY	0	7		1	var	0	1	0	lastboss	0.0	0.0	0.0	0
213905	LF2A_TBox	on_killed_by_user	KilledByPlayer	0	1		0	say	341026	0	0		0.0	0.0	0.0	0
213905	LF2A_TBox	on_killed_by_user	KilledByPlayer	0	1		1	spawn	280722	1	600	for_the_fight_self	0.0	0.0	0.0	1
213908	ND2_EeE	on_killed_by_user	KilledByPlayer	0	6		0	say	341127	0	0		0.0	0.0	0.0	0
213908	ND2_EeE	on_killed_by_user	KilledByPlayer	0	6		1	spawn	280736	5	30	for_the_fight_self	0.0	0.0	0.0	1
214024	LF2A_TBox	on_killed_by_user	KilledByPlayer	0	1		0	say	341026	0	0		0.0	0.0	0.0	0
214024	LF2A_TBox	on_killed_by_user	KilledByPlayer	0	1		1	spawn	280722	1	600	for_the_fight_self	0.0	0.0	0.0	1
214532	Event_Santa_L	on_killed_by_user	KilledByPlayer	0	3	chance:25	0	spawn	280820	1	18	for_the_fight_self	0.0	0.0	0.0	0
214533	Event_Santa_D	on_killed_by_user	KilledByPlayer	0	3	chance:25	0	spawn	280821	1	18	for_the_fight_self	0.0	0.0	0.0	0
215048	Shulack_KralA	on_killed_by_npc	KilledByNpc	0	7		0	spawn	281291	1	6	for_the_fight_self	0.0	0.0	0.0	1
215048	Shulack_KralA	on_killed_by_user	KilledByPlayer	0	7		0	spawn	281291	1	6	for_the_fight_self	0.0	0.0	0.0	1
215079	IDSlk_KK	on_die	ANY	0	7		0	spawn	281197	1	6	for_the_fight_self	0.0	0.0	0.0	1
215079	IDSlk_KK	on_die	ANY	0	7		1	var	2	0	0	Lever	0.0	0.0	0.0	0
215135	BGuard_ChiefD_Minor	on_die	ANY	0	7		0	spawn	296339	2	18	for_the_fight_absolute	496.0	847.0	200.0	5
215135	BGuard_ChiefD_Minor	on_die	ANY	0	7		1	spawn	296339	2	18	for_the_fight_absolute	529.0	874.0	200.0	5
215135	BGuard_ChiefD_Minor	on_die	ANY	0	7		2	spawn	296339	2	18	for_the_fight_absolute	554.0	850.0	200.0	5
215178	BGuard_ChiefD_Minor	on_die	ANY	0	7		0	spawn	296339	2	18	for_the_fight_absolute	496.0	847.0	200.0	5
215178	BGuard_ChiefD_Minor	on_die	ANY	0	7		1	spawn	296339	2	18	for_the_fight_absolute	529.0	874.0	200.0	5
215178	BGuard_ChiefD_Minor	on_die	ANY	0	7		2	spawn	296339	2	18	for_the_fight_absolute	554.0	850.0	200.0	5
215221	BGuard_ChiefD_Minor	on_die	ANY	0	7		0	spawn	296339	2	18	for_the_fight_absolute	496.0	847.0	200.0	5
215221	BGuard_ChiefD_Minor	on_die	ANY	0	7		1	spawn	296339	2	18	for_the_fight_absolute	529.0	874.0	200.0	5
215221	BGuard_ChiefD_Minor	on_die	ANY	0	7		2	spawn	296339	2	18	for_the_fight_absolute	554.0	850.0	200.0	5
215457	Elim_Octaside_Door	on_die	ANY	0	7		0	var	2	0	0	IDElim_1F_StartRush	0.0	0.0	0.0	0
