gate_npc_id	pattern	step	delay_ms	placement	summons	despawn_after_ms	loops_to
207540	BGuard_GateKimeiaA	0	20000	SELF	207545*1	3000	-1
207540	BGuard_GateKimeiaA	1	40000	SELF	207545*1,207546*1	3000	-1
207540	BGuard_GateKimeiaA	2	40000	SELF	207545*2,207546*1	3000	-1
207540	BGuard_GateKimeiaA	3	40000	SELF	207545*1,207546*2	3000	-1
207541	BGuard_GateKimeiaB	0	20000	SELF	207547*1	3000	-1
207541	BGuard_GateKimeiaB	1	40000	SELF	207545*1,207547*1	3000	-1
207541	BGuard_GateKimeiaB	2	40000	SELF	207545*1,207546*1,207547*1	3000	-1
207541	BGuard_GateKimeiaB	3	40000	SELF	207545*1,207547*2	3000	-1
207542	BGuard_GateKimeiaC	0	20000	SELF	207548*1	3000	-1
207542	BGuard_GateKimeiaC	1	40000	SELF	207548*1,207545*1	3000	-1
207542	BGuard_GateKimeiaC	2	40000	SELF	207548*1,207547*1,207545*1	3000	-1
207542	BGuard_GateKimeiaC	3	40000	SELF	207548*2,207547*1	3000	-1
207549	BGuard_GateKimeiaA	0	20000	SELF	207545*1	3000	-1
207549	BGuard_GateKimeiaA	1	40000	SELF	207545*1,207546*1	3000	-1
207549	BGuard_GateKimeiaA	2	40000	SELF	207545*2,207546*1	3000	-1
207549	BGuard_GateKimeiaA	3	40000	SELF	207545*1,207546*2	3000	-1
207550	BGuard_GateKimeiaB	0	20000	SELF	207547*1	3000	-1
207550	BGuard_GateKimeiaB	1	40000	SELF	207545*1,207547*1	3000	-1
207550	BGuard_GateKimeiaB	2	40000	SELF	207545*1,207546*1,207547*1	3000	-1
207550	BGuard_GateKimeiaB	3	40000	SELF	207545*1,207547*2	3000	-1
207551	BGuard_GateKimeiaC	0	20000	SELF	207548*1	3000	-1
207551	BGuard_GateKimeiaC	1	40000	SELF	207548*1,207545*1	3000	-1
207551	BGuard_GateKimeiaC	2	40000	SELF	207548*1,207547*1,207545*1	3000	-1
207551	BGuard_GateKimeiaC	3	40000	SELF	207548*2,207547*1	3000	-1
207612	BGuard_LGate_L43	0	10000	SELF	207613*1,207615*1	5000	-1
207612	BGuard_LGate_L43	1	30000	SELF	207616*1,207614*1,207615*1	5000	-1
207617	BGuard_DGate_L43	0	10000	SELF	207618*1,207620*1	5000	-1
207617	BGuard_DGate_L43	1	30000	SELF	207621*1,207619*1,207620*1	5000	-1
207622	BGuard_LGate_L53	0	10000	SELF	207623*1,207625*1	5000	-1
207622	BGuard_LGate_L53	1	30000	SELF	207626*1,207624*1,207625*1	5000	-1
207627	BGuard_DGate_L53	0	10000	SELF	207628*1,207630*1	5000	-1
207627	BGuard_DGate_L53	1	30000	SELF	207631*1,207629*1,207630*1	5000	-1
207699	BGuard_LGate_L56	0	10000	SELF	207700*1,207702*1	5000	-1
207699	BGuard_LGate_L56	1	30000	SELF	207703*1,207701*1,207702*1	5000	-1
207704	BGuard_LGate_L58	0	10000	SELF	207705*1,207707*1	5000	-1
207704	BGuard_LGate_L58	1	30000	SELF	207708*1,207706*1,207707*1	5000	-1
207712	BGuard_DGate_L56	0	10000	SELF	207713*1,207715*1	5000	-1
207712	BGuard_DGate_L56	1	30000	SELF	207716*1,207714*1,207715*1	5000	-1
207717	BGuard_DGate_L58	0	10000	SELF	207718*1,207720*1	5000	-1
207717	BGuard_DGate_L58	1	30000	SELF	207721*1,207719*1,207720*1	5000	-1
207816	BGuard_LGate_L45	0	10000	SELF	207817*1,207819*1	5000	-1
207816	BGuard_LGate_L45	1	30000	SELF	207820*1,207818*1,207819*1	5000	-1
207827	BGuard_DGate_L45	0	10000	SELF	207828*1,207830*1	5000	-1
207827	BGuard_DGate_L45	1	30000	SELF	207831*1,207829*1,207830*1	5000	-1
281226	BGuard_DrGateChiefD	0	5000	SELF	281227*1,281229*1	5000	-1
281226	BGuard_DrGateChiefD	1	30000	SELF	281228*1,281229*2	5000	-1
294718	BGuard_LGate	0	10000	SELF	294722*1,294728*1	5000	-1
294718	BGuard_LGate	1	30000	SELF	294731*1,294725*1,294728*1	5000	-1
294719	BGuard_LGate	0	10000	SELF	294722*1,294728*1	5000	-1
294719	BGuard_LGate	1	30000	SELF	294731*1,294725*1,294728*1	5000	-1
294720	BGuard_LGate	0	10000	SELF	294722*1,294728*1	5000	-1
294720	BGuard_LGate	1	30000	SELF	294731*1,294725*1,294728*1	5000	-1
294751	BGuard_DGate	0	10000	SELF	294755*1,294761*1	5000	-1
294751	BGuard_DGate	1	30000	SELF	294764*1,294758*1,294761*1	5000	-1
294752	BGuard_DGate	0	10000	SELF	294755*1,294761*1	5000	-1
294752	BGuard_DGate	1	30000	SELF	294764*1,294758*1,294761*1	5000	-1
294753	BGuard_DGate	0	10000	SELF	294755*1,294761*1	5000	-1
294753	BGuard_DGate	1	30000	SELF	294764*1,294758*1,294761*1	5000	-1
294892	BGuard_LGateChiefA	0	5000	SELF	295107*1,295109*1	5000	-1
294892	BGuard_LGateChiefA	1	35000	SELF	295108*1,295110*2	5000	-1
294893	BGuard_DGateChiefA	0	5000	SELF	295112*1,295114*1	5000	-1
294893	BGuard_DGateChiefA	1	35000	SELF	295113*1,295115*2	5000	-1
294894	BGuard_DrGateChiefA	0	5000	SELF	295117*1,295119*1	5000	-1
294894	BGuard_DrGateChiefA	1	35000	SELF	295118*1,295120*2	5000	-1
295122	BGuard_LGateChiefB	0	5000	SELF	294880*2,294882*1	5000	-1
295122	BGuard_LGateChiefB	1	25000	SELF	294881*1,294882*2	5000	-1
295123	BGuard_DGateChiefB	0	5000	SELF	294884*2,294886*1	5000	-1
295123	BGuard_DGateChiefB	1	25000	SELF	294885*1,294886*2	5000	-1
295124	BGuard_DrGateChiefB	0	5000	SELF	294888*2,294890*1	5000	-1
295124	BGuard_DrGateChiefB	1	25000	SELF	294889*1,294890*2	5000	-1
295125	BGuard_LGateChiefC	0	5000	SELF	294880*2,294882*1	5000	-1
295125	BGuard_LGateChiefC	1	30000	SELF	294881*1,294882*2	5000	-1
295126	BGuard_DGateChiefC	0	5000	SELF	294884*2,294886*1	5000	-1
295126	BGuard_DGateChiefC	1	30000	SELF	294885*1,294886*2	5000	-1
295127	BGuard_DrGateChiefC	0	5000	SELF	294888*2,294890*1	5000	-1
295127	BGuard_DrGateChiefC	1	30000	SELF	294889*1,294890*2	5000	-1
295135	BGuard_LGate_L50	0	10000	SELF	295136*1,295138*1	5000	-1
295135	BGuard_LGate_L50	1	30000	SELF	295139*1,295137*1,295138*1	5000	-1
295146	BGuard_DGate_L50	0	10000	SELF	295147*1,295149*1	5000	-1
295146	BGuard_DGate_L50	1	30000	SELF	295150*1,295148*1,295149*1	5000	-1
295212	BGuard_LGateChiefA_L50	0	5000	SELF	295187*1,295188*1,295186*1	5000	-1
295212	BGuard_LGateChiefA_L50	1	35000	SELF	295185*1,295188*2,295186*1	5000	-1
295213	BGuard_DGateChiefA_L50	0	5000	SELF	295192*1,295193*1,295191*1	5000	-1
295213	BGuard_DGateChiefA_L50	1	35000	SELF	295190*1,295193*2,295191*1	5000	-1
