npc_id	call	idle_points	busy_points	pattern
209415	23000	1	100	DirectPortal_LGuard_Defend_PM_Ke2
209416	23000	1	100	DirectPortal_LGuard_Charge_PM_Fe2
209417	23000	1	100	DirectPortal_LGuard_Watch_PR_Re2
209418	23000	1	100	DirectPortal_LGuard_Strike_MRArea_We2
209419	23000	1	100	DirectPortal_LGuard_Support_HBuff_Pe2
209420	23000	1	100	DirectPortal_LGuard_Defend_PM_Ke2
209421	23000	1	100	DirectPortal_LGuard_Charge_PM_Fe2
209422	23000	1	100	DirectPortal_LGuard_Watch_PR_Re2
209423	23000	1	100	DirectPortal_LGuard_Strike_MRArea_We2
209424	23000	1	100	DirectPortal_LGuard_Support_HBuff_Pe2
209425	23000	1	100	DirectPortal_DGuard_Defend_PM_Ke2
209426	23000	1	100	DirectPortal_DGuard_Charge_PM_Fe2
209427	23000	1	100	DirectPortal_DGuard_Watch_PR_Re2
209428	23000	1	100	DirectPortal_DGuard_Strike_MRArea_We2
209429	23000	1	100	DirectPortal_DGuard_Support_HBuff_Pe2
209430	23000	1	100	DirectPortal_DGuard_Defend_PM_Ke2
209431	23000	1	100	DirectPortal_DGuard_Charge_PM_Fe2
209432	23000	1	100	DirectPortal_DGuard_Watch_PR_Re2
209433	23000	1	100	DirectPortal_DGuard_Strike_MRArea_We2
209434	23000	1	100	DirectPortal_DGuard_Support_HBuff_Pe2
209435	23000	1	100	DirectPortal_LGuard_Defend_PM_Ke2
209436	23000	1	100	DirectPortal_LGuard_Charge_PM_Fe2
209437	23000	1	100	DirectPortal_LGuard_Watch_PR_Re2
209438	23000	1	100	DirectPortal_LGuard_Strike_MRArea_We2
209439	23000	1	100	DirectPortal_LGuard_Support_HBuff_Pe2
209440	23000	1	100	DirectPortal_LGuard_Defend_PM_Ke2
209441	23000	1	100	DirectPortal_LGuard_Charge_PM_Fe2
209442	23000	1	100	DirectPortal_LGuard_Watch_PR_Re2
209443	23000	1	100	DirectPortal_LGuard_Strike_MRArea_We2
209444	23000	1	100	DirectPortal_LGuard_Support_HBuff_Pe2
209445	23000	1	100	DirectPortal_DGuard_Defend_PM_Ke2
209446	23000	1	100	DirectPortal_DGuard_Charge_PM_Fe2
209447	23000	1	100	DirectPortal_DGuard_Watch_PR_Re2
209448	23000	1	100	DirectPortal_DGuard_Strike_MRArea_We2
209449	23000	1	100	DirectPortal_DGuard_Support_HBuff_Pe2
209450	23000	1	100	DirectPortal_DGuard_Defend_PM_Ke2
209451	23000	1	100	DirectPortal_DGuard_Charge_PM_Fe2
209452	23000	1	100	DirectPortal_DGuard_Watch_PR_Re2
209453	23000	1	100	DirectPortal_DGuard_Strike_MRArea_We2
209454	23000	1	100	DirectPortal_DGuard_Support_HBuff_Pe2
209458	23000	1	100	LDF5_LGuard_DisputeRvRLight_Support_Deform_Ee
209470	23000	1	100	LDF5_DGuard_DisputeRvRLight_Support_Deform_Ee
209473	23000	1	100	LDF5_LGuard_DisputeRvRLight_Support_Deform_Ee
209475	23000	1	100	LDF5_DGuard_DisputeRvR_Support_Heal_Pe
209476	23000	1	100	LDF5_LGuard_DisputeRvRLight_Defend_PM_Ke
209480	23000	1	100	DirectPortal_LGuard_Charge_PM_Fe
209483	23000	1	100	DirectPortal_DGuard_Charge_PM_Fe
209534	23000	1	100	DirectPortal_LGuard_Defend_PM_Ke2
209537	23000	1	100	DirectPortal_LGuard_Strike_MRArea_We2
209549	23000	1	100	DirectPortal_DGuard_Defend_PM_Ke2
209552	23000	1	100	DirectPortal_DGuard_Strike_MRArea_We2
209669	23100	1	100	F5_PvP_LGuard_Kn_Ae
209675	23200	1	100	F5_PvP_DGuard_Kn_Ae
219829	23000	1	100	LDF5_LGuard_Safety_Chase_Fn
219830	23000	1	100	LDF5_LGuard_Safety_Chase_Fn
