npc_id	pattern	send_range	receives	name
209415	DirectPortal_LGuard_Defend_PM_Ke2	0	1	theobomos elite templar
209416	DirectPortal_LGuard_Charge_PM_Fe2	0	1	theobomos elite gladiator
209417	DirectPortal_LGuard_Watch_PR_Re2	25	1	theobomos elite ranger
209418	DirectPortal_LGuard_Strike_MRArea_We2	0	1	theobomos elite sorcerer
209419	DirectPortal_LGuard_Support_HBuff_Pe2	0	1	theobomos elite cleric
209420	DirectPortal_LGuard_Defend_PM_Ke2	0	1	jamanok elite templar
209421	DirectPortal_LGuard_Charge_PM_Fe2	0	1	jamanok elite gladiator
209422	DirectPortal_LGuard_Watch_PR_Re2	25	1	jamanok elite ranger
209423	DirectPortal_LGuard_Strike_MRArea_We2	0	1	jamanok elite sorcerer
209424	DirectPortal_LGuard_Support_HBuff_Pe2	0	1	jamanok elite cleric
209425	DirectPortal_DGuard_Defend_PM_Ke2	0	1	pandemonium hq elite templar
209426	DirectPortal_DGuard_Charge_PM_Fe2	0	1	pandemonium hq elite gladiator
209427	DirectPortal_DGuard_Watch_PR_Re2	25	1	pandemonium hq elite ranger
209428	DirectPortal_DGuard_Strike_MRArea_We2	0	1	pandemonium hq elite sorcerer
209429	DirectPortal_DGuard_Support_HBuff_Pe2	0	1	pandemonium hq elite cleric
209430	DirectPortal_DGuard_Defend_PM_Ke2	0	1	hq supply templar
209431	DirectPortal_DGuard_Charge_PM_Fe2	0	1	hq supply gladiator
209432	DirectPortal_DGuard_Watch_PR_Re2	25	1	hq supply ranger
209433	DirectPortal_DGuard_Strike_MRArea_We2	0	1	hq supply sorcerer
209434	DirectPortal_DGuard_Support_HBuff_Pe2	0	1	hq supply cleric
209435	DirectPortal_LGuard_Defend_PM_Ke2	0	1	griffon's claw elite templar
209436	DirectPortal_LGuard_Charge_PM_Fe2	0	1	griffon's claw elite gladiator
209437	DirectPortal_LGuard_Watch_PR_Re2	25	1	griffon's claw elite ranger
209438	DirectPortal_LGuard_Strike_MRArea_We2	0	1	griffon's claw elite sorcerer
209439	DirectPortal_LGuard_Support_HBuff_Pe2	0	1	griffon's claw elite cleric
209440	DirectPortal_LGuard_Defend_PM_Ke2	0	1	provisioneers elite templar
209441	DirectPortal_LGuard_Charge_PM_Fe2	0	1	provisioneers elite gladiator
209442	DirectPortal_LGuard_Watch_PR_Re2	25	1	provisioneers elite ranger
209443	DirectPortal_LGuard_Strike_MRArea_We2	0	1	provisioneers elite sorcerer
209444	DirectPortal_LGuard_Support_HBuff_Pe2	0	1	provisioneers elite cleric
209445	DirectPortal_DGuard_Defend_PM_Ke2	0	1	brusthonin reapers elite templar
209446	DirectPortal_DGuard_Charge_PM_Fe2	0	1	brusthonin reapers elite gladiator
209447	DirectPortal_DGuard_Watch_PR_Re2	25	1	brusthonin reapers elite ranger
209448	DirectPortal_DGuard_Strike_MRArea_We2	0	1	brusthonin reapers elite sorcerer
209449	DirectPortal_DGuard_Support_HBuff_Pe2	0	1	brusthonin reapers elite cleric
209450	DirectPortal_DGuard_Defend_PM_Ke2	0	1	baltasar elite templar
209451	DirectPortal_DGuard_Charge_PM_Fe2	0	1	baltasar elite gladiator
209452	DirectPortal_DGuard_Watch_PR_Re2	25	1	baltasar elite ranger
209453	DirectPortal_DGuard_Strike_MRArea_We2	0	1	baltasar elite sorcerer
209454	DirectPortal_DGuard_Support_HBuff_Pe2	0	1	baltasar elite cleric
209458	LDF5_LGuard_DisputeRvRLight_Support_Deform_Ee	0	1	jamanok siege supplier
209470	LDF5_DGuard_DisputeRvRLight_Support_Deform_Ee	0	1	baltasar cannon controller
209473	LDF5_LGuard_DisputeRvRLight_Support_Deform_Ee	0	1	jamanok
209475	LDF5_DGuard_DisputeRvR_Support_Heal_Pe	0	1	abunka
209476	LDF5_LGuard_DisputeRvRLight_Defend_PM_Ke	0	1	surt
209480	DirectPortal_LGuard_Charge_PM_Fe	0	1	jamanok protectorate gladiator
209483	DirectPortal_DGuard_Charge_PM_Fe	0	1	brusthonin gladiator
209534	DirectPortal_LGuard_Defend_PM_Ke2	0	1	inggison elite templar
209537	DirectPortal_LGuard_Strike_MRArea_We2	0	1	inggison elite sorcerer
209549	DirectPortal_DGuard_Defend_PM_Ke2	0	1	gelkmaros elite templar
209552	DirectPortal_DGuard_Strike_MRArea_We2	0	1	gelkmaros elite sorcerer
219829	LDF5_LGuard_Safety_Chase_Fn	0	1	beritra pursuit fangblade
219830	LDF5_LGuard_Safety_Chase_Fn	0	1	beritra pursuit fangblade
219831	LDF5_LGuard_Safety_Chase_Fn	0	1	beritra pursuit fangblade
219832	LDF5_LGuard_Safety_Chase_Fn	0	1	beritra pursuit fangblade
219833	LDF5_LGuard_Safety_Hold_Rn	25	1	beritra pursuit reserve
219834	LDF5_LGuard_Safety_Hold_Rn	25	1	beritra pursuit reserve
219835	LDF5_LGuard_Safety_Hold_Rn	25	1	beritra pursuit reserve
219836	LDF5_LGuard_Safety_Hold_Rn	25	1	beritra pursuit reserve
219837	LDF5_LGuard_DisputePvP_Defend_PM_Kn	0	1	beritra pursuit deathfang
219838	LDF5_LGuard_DisputePvP_Defend_PM_Kn	0	1	beritra pursuit deathfang
219839	LDF5_LGuard_DisputePvP_Defend_PM_Kn	0	1	beritra pursuit deathfang
219840	LDF5_LGuard_DisputePvP_Defend_PM_Kn	0	1	beritra pursuit deathfang
219841	LDF5_LGuard_DisputePvP_Strike_PR_Ge	0	1	beritra pursuit reinforcement
219842	LDF5_LGuard_DisputePvP_Strike_PR_Ge	0	1	beritra pursuit reinforcement
219843	LDF5_LGuard_DisputePvP_Strike_PR_Ge	0	1	beritra pursuit reinforcement
219844	LDF5_LGuard_DisputePvP_Strike_PR_Ge	0	1	beritra pursuit reinforcement
219845	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	beritra pursuit dracotongue
219846	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	beritra pursuit dracotongue
219847	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	beritra pursuit dracotongue
219848	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	beritra pursuit dracotongue
219849	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	beritra pursuit clawrunner
219850	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	beritra pursuit clawrunner
219851	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	beritra pursuit clawrunner
220063	LDF5_LGuard_Safety_Chase_Fn	0	1	beritra prectaz scaleblade
220064	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	beritra prectaz swiftalon
220065	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	beritra prectaz scalemage
220066	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	beritra prectaz fleshmender
220067	LDF5_LGuard_DisputePvP_Strike_PR_Ge	0	1	beritra prectaz caudamark
220068	LDF5_LGuard_Safety_Chase_Fn	0	1	beritra prectaz commander
220069	LDF5_LGuard_DisputePvP_Hide_PM_Ae	0	1	beritra prectaz informant
220070	LDF5_LGuard_DisputePvP_Strike_MRArea_We	0	1	beritra prectaz drakencaster
220071	LDF5_LGuard_DisputePvP_Support_HBuff_Pe	0	1	beritra prectaz scalesage
220072	LDF5_LGuard_DisputePvP_Strike_PR_Ge	0	1	beritra prectaz wyrmward
232846	LDF5_LGuard_DisputePvP_Charge_PM_Fe	0	1	varga raider trooper
232852	LDF5_LGuard_DisputeRvR_Defend_PM_Ke	0	1	varga raider captain
234044	LDF5_LGuard_DisputePvP_Defend_PM_Kn	0	1	stonereach force defender
234047	LDF5_LGuard_DisputePvP_Charge_PM_Fn	0	1	stonereach force grunt
234050	LDF5_LGuard_DisputePvP_Watch_PR_Rn	25	1	stonereach force lookout
