guard_npc_id	pattern	low_hp	high_hp	chance	placement	live_seconds	spawn_range	attack_hate	summons
203338	LGuard_WhA_L43	0	34	100	SELF	600	3	0	207612*1
203378	LGuard_ReA_L51	0	34	100	TARGET	100	1	0	207635*1
203902	LGuard_WhA_L50	0	34	100	SELF	600	3	0	295135*1
203903	LGuard_PhA	0	34	50	SELF	600	3	0	294734*3,294737*2
203903	LGuard_PhA	36	70	50	SELF	600	3	0	294734*2,294737*1
203903	LGuard_PhA	71	100	50	SELF	600	3	0	294734*2
203904	LGuard_RhA_L50	0	34	100	SELF	600	3	0	295132*2,295131*3
203904	LGuard_RhA_L50	36	70	100	TARGET	600	3	0	295131*3
203996	LGuard_Kimeia	0	24	100	SELF	600	0	0	207549*1,207550*1,207551*1
203996	LGuard_Kimeia	26	50	100	SELF	600	0	0	207549*1,207550*1
203996	LGuard_Kimeia	51	75	100	SELF	600	0	0	207549*1
204303	DGuard_PhA	0	34	50	SELF	600	3	0	294767*3,294770*2
204303	DGuard_PhA	36	70	50	SELF	600	3	0	294767*2,294770*1
204303	DGuard_PhA	71	100	50	SELF	600	3	0	294767*2
204304	DGuard_WhA_L50	0	34	100	SELF	600	3	0	295146*1
204312	DGuard_AhA_L50	0	34	100	SELF	600	3	0	295144*2,295145*1
204314	DGuard_WhA_L50	0	34	100	SELF	600	3	0	295146*1
204315	DGuard_RhA_L50	0	34	100	SELF	600	3	0	295143*2,295142*3
204315	DGuard_RhA_L50	36	70	100	TARGET	600	3	0	295142*3
204317	DGuard_AhA_L50	0	34	100	SELF	600	3	0	295144*2,295145*1
204391	DGuard_RhA_L45	0	34	100	SELF	600	3	0	207824*2,207823*3
204391	DGuard_RhA_L45	36	70	100	TARGET	600	3	0	207823*3
204434	DGuard_WhA_L50	0	34	100	SELF	600	3	0	295146*1
204502	LGuard_WhA_L53	0	34	100	SELF	600	3	0	207622*1
204503	LGuard_PhA_L53	0	34	50	SELF	600	3	0	207688*3,207689*2
204503	LGuard_PhA_L53	36	70	50	SELF	600	3	0	207688*2,207689*1
204503	LGuard_PhA_L53	71	100	50	SELF	600	3	0	207688*2
204510	LGuard_RhA_L50	0	34	100	SELF	600	3	0	295132*2,295131*3
204510	LGuard_RhA_L50	36	70	100	TARGET	600	3	0	295131*3
204518	LGuard_WhA_L50	0	34	100	SELF	600	3	0	295135*1
204574	LGuard_ReA_L50	0	34	100	TARGET	100	1	0	295131*1
204575	LGuard_ReA_L50	0	34	100	TARGET	100	1	0	295131*1
204576	LGuard_ReA_L50	0	34	100	TARGET	100	1	0	295131*1
204584	LGuard_ReA_L50	0	34	100	TARGET	100	1	0	295131*1
204590	LGuard_AhA_L50	0	34	100	SELF	600	3	0	295133*2,295134*1
204591	LGuard_ReA_L50	0	34	100	TARGET	100	1	0	295131*1
204598	LGuard_ReA_L50	0	34	100	TARGET	100	1	0	295131*1
204599	LGuard_ReA_L50	0	34	100	TARGET	100	1	0	295131*1
204602	LGuard_ReA_L50	0	34	100	TARGET	100	1	0	295131*1
204606	LGuard_ReA_L50	0	34	100	TARGET	100	1	0	295131*1
204608	LGuard_ReA_L50	0	34	100	TARGET	100	1	0	295131*1
204629	LGuard_WhA_L50	0	34	100	SELF	600	3	0	295135*1
204646	LGuard_WhA_L53	0	34	100	SELF	600	3	0	207622*1
204654	LGuard_RhB_L52	0	34	100	TARGET	100	3	0	207636*3
204654	LGuard_RhB_L52	36	70	100	TARGET	100	3	0	207636*2
204701	DGuard_PhA_L53	0	34	50	SELF	600	3	0	207694*3,207695*2
204701	DGuard_PhA_L53	36	70	50	SELF	600	3	0	207694*2,207695*1
204701	DGuard_PhA_L53	71	100	50	SELF	600	3	0	207694*2
204703	DGuard_WhA_L53	0	34	100	SELF	600	3	0	207627*1
204707	DGuard_RhA_L53	0	34	100	SELF	600	3	0	207691*2,207690*3
204707	DGuard_RhA_L53	36	70	100	TARGET	600	3	0	207690*3
204711	DGuard_RhA_L50	0	34	100	SELF	600	3	0	295143*2,295142*3
204711	DGuard_RhA_L50	36	70	100	TARGET	600	3	0	295142*3
204713	DGuard_RhA_L50	0	34	100	SELF	600	3	0	295143*2,295142*3
204713	DGuard_RhA_L50	36	70	100	TARGET	600	3	0	295142*3
204743	DGuard_ReA_L50	0	34	100	TARGET	100	1	0	295142*1
204763	DGuard_WhA_L50	0	34	100	SELF	600	3	0	295146*1
204764	DGuard_ReA_L50	0	34	100	TARGET	100	1	0	295142*1
204765	DGuard_ReA_L50	0	34	100	TARGET	100	1	0	295142*1
204768	DGuard_WhA_L50	0	34	100	SELF	600	3	0	295146*1
204774	DGuard_AhA_L53	0	34	100	SELF	600	3	0	207692*2,207693*1
204784	DGuard_WhA_L50	0	34	100	SELF	600	3	0	295146*1
204804	DGuard_ReA_L50	0	34	100	TARGET	100	1	0	295142*1
204816	DGuard_ReA_L50	0	34	100	TARGET	100	1	0	295142*1
204818	DGuard_WhA_L53	0	34	100	SELF	600	3	0	207627*1
205239	DGuard_RhB_L53	0	34	100	TARGET	100	3	0	207690*3
205239	DGuard_RhB_L53	36	70	100	TARGET	100	3	0	207690*2
205535	LGuard_WhA_L60	0	34	100	SELF	600	3	0	296639*1
205581	LGuard_PhB_L55	0	34	50	TARGET	600	3	0	296649*2
205581	LGuard_PhB_L55	0	100	50	TARGET	600	3	0	296648*2
205583	LGuard_PhB_L55	0	34	50	TARGET	600	3	0	296649*2
205583	LGuard_PhB_L55	0	100	50	TARGET	600	3	0	296648*2
205617	DGuard_PhA_L60	0	34	50	SELF	600	3	0	296764*3,296765*2
205617	DGuard_PhA_L60	36	70	50	SELF	600	3	0	296764*2,296765*1
205617	DGuard_PhA_L60	71	100	50	SELF	600	3	0	296764*2
207514	LGuard_ReA	0	34	100	TARGET	600	1	0	294707*1
207515	LGuard_RhB	0	34	100	TARGET	100	3	0	294707*3
207515	LGuard_RhB	36	70	100	TARGET	100	3	0	294707*2
207520	LGuard_Kimeia	0	24	100	SELF	600	0	0	207549*1,207550*1,207551*1
207520	LGuard_Kimeia	26	50	100	SELF	600	0	0	207549*1,207550*1
207520	LGuard_Kimeia	51	75	100	SELF	600	0	0	207549*1
207523	LGuard_PhB	0	34	50	TARGET	100	3	0	294737*2
207523	LGuard_PhB	0	100	50	TARGET	100	3	0	294734*2
207556	LGuard_ReA_L50	0	34	100	TARGET	100	1	0	295131*1
207557	LGuard_RhA_L50	0	34	100	SELF	600	3	0	295132*2,295131*3
207557	LGuard_RhA_L50	36	70	100	TARGET	600	3	0	295131*3
207566	LGuard_PhA_L50	0	34	50	SELF	600	3	0	295140*3,295141*2
207566	LGuard_PhA_L50	36	70	50	SELF	600	3	0	295140*2,295141*1
207566	LGuard_PhA_L50	71	100	50	SELF	600	3	0	295140*2
207571	LGuard_ReA_L50	0	34	100	TARGET	100	1	0	295131*1
207572	LGuard_RhA_L50	0	34	100	SELF	600	3	0	295132*2,295131*3
207572	LGuard_RhA_L50	36	70	100	TARGET	600	3	0	295131*3
207581	LGuard_PhA_L50	0	34	50	SELF	600	3	0	295140*3,295141*2
207581	LGuard_PhA_L50	36	70	50	SELF	600	3	0	295140*2,295141*1
207581	LGuard_PhA_L50	71	100	50	SELF	600	3	0	295140*2
