npc	wake_ms	rearm_ms	placed	count	live	place	x	y	z	scoped	pattern
217575	5000	-1	282436	1	10	absolute	1629.0	154.0	130.0	TRUE	IDArena_S6_Named_2
282414	5000	-1	282415	1	20	offset	-1.0	-1.0	0.0	TRUE	IDArena_Sum_Monster_06
282414	5000	-1	282415	1	20	offset	-1.0	1.0	0.0	TRUE	IDArena_Sum_Monster_06
282414	5000	-1	282415	1	20	offset	1.0	-1.0	0.0	TRUE	IDArena_Sum_Monster_06
282414	5000	-1	282415	1	20	offset	1.0	1.0	0.0	TRUE	IDArena_Sum_Monster_06
282447	2000	-1	283069	1	3	self	0.0	0.0	0.0	TRUE	IDRaksha_NoshowNPC_03
282547	2000	0	282544	1	0	self	0.0	0.0	0.0	TRUE	IDYun_Temp_15
282548	3000	0	282545	2	0	self	0.0	0.0	0.0	TRUE	IDYun_Temp_16
282733	2000	-1	282734	1	2	self	0.0	0.0	0.0	TRUE	LDF4b_Tiamat_Temp07
282977	4000	-1	282978	1	6	self	0.0	0.0	0.0	TRUE	LDF4b_Tiamat_Temp32
282979	4000	-1	282980	1	3	self	0.0	0.0	0.0	TRUE	LDF4b_Tiamat_Temp33
282986	3000	-1	282987	1	2	self	0.0	0.0	0.0	TRUE	IDYun_Temp_67
283079	2000	-1	283069	1	3	self	0.0	0.0	0.0	TRUE	IDRaksha_NoshowNPC_03
701431	3000	20000	282541	1	3	self	0.0	0.0	0.0	TRUE	LDF4b_Tiamat_Temp55
702411	600000	0	702412	1	10	self	0.0	0.0	0.0	TRUE	Gab1_02_Guard_Noshow_01
833465	3000	0	220037	1	0	self	0.0	0.0	0.0	TRUE	DF5_QuestMonster_24
855204	5000	30000	855206	1	55	self	0.0	0.0	0.0	TRUE	WorldRaid_Wave_Pod_01
855204	5000	30000	855207	1	55	self	0.0	0.0	0.0	TRUE	WorldRaid_Wave_Pod_01
855204	5000	30000	855208	1	55	self	0.0	0.0	0.0	TRUE	WorldRaid_Wave_Pod_01
855205	5000	30000	855206	1	55	self	0.0	0.0	0.0	TRUE	WorldRaid_Wave_Pod_07
855205	5000	30000	855207	2	55	self	0.0	0.0	0.0	TRUE	WorldRaid_Wave_Pod_07
855205	5000	30000	855208	1	55	self	0.0	0.0	0.0	TRUE	WorldRaid_Wave_Pod_07
855233	5000	30000	855206	1	55	self	0.0	0.0	0.0	TRUE	WorldRaid_Wave_Pod_07
855233	5000	30000	855207	2	55	self	0.0	0.0	0.0	TRUE	WorldRaid_Wave_Pod_07
855233	5000	30000	855208	1	55	self	0.0	0.0	0.0	TRUE	WorldRaid_Wave_Pod_07
856034	2000	-1	856035	1	2	absolute	445.0	550.7	417.4	TRUE	IDTiamat_Hard_Breath_Centarl_00
856036	2000	-1	856037	1	2	absolute	457.8	514.7	417.4	TRUE	IDTiamat_Hard_Breath_Right_00
856036	2000	-1	856037	1	2	absolute	462.3	514.6	417.4	TRUE	IDTiamat_Hard_Breath_Right_00
856036	2000	-1	856037	1	2	absolute	466.6	514.6	417.4	TRUE	IDTiamat_Hard_Breath_Right_00
856036	2000	-1	856037	1	2	absolute	469.7	514.5	417.4	TRUE	IDTiamat_Hard_Breath_Right_00
856036	2000	-1	856037	1	2	absolute	473.6	514.5	417.4	TRUE	IDTiamat_Hard_Breath_Right_00
856036	2000	-1	856037	1	2	absolute	475.8	514.4	417.4	TRUE	IDTiamat_Hard_Breath_Right_00
856036	2000	-1	856037	1	2	absolute	479.3	514.4	417.4	TRUE	IDTiamat_Hard_Breath_Right_00
856036	2000	-1	856037	1	2	absolute	482.7	514.3	417.4	TRUE	IDTiamat_Hard_Breath_Right_00
856036	2000	-1	856037	1	2	absolute	485.2	514.3	417.4	TRUE	IDTiamat_Hard_Breath_Right_00
856036	2000	-1	856037	1	2	absolute	488.1	514.3	417.4	TRUE	IDTiamat_Hard_Breath_Right_00
856036	2000	-1	856037	1	2	absolute	491.2	514.2	417.4	TRUE	IDTiamat_Hard_Breath_Right_00
856038	2000	-1	856039	1	2	absolute	454.1	474.9	417.4	TRUE	IDTiamat_Hard_Breath_Left_00
856078	4000	-1	856079	1	3	self	0.0	0.0	0.0	TRUE	IDTiamat_Hard_Temp_11
856080	2000	-1	856081	1	2	self	0.0	0.0	0.0	TRUE	IDTiamat_Hard_Temp_13
