npc	index	skill	level	prob	cooldown
200000	0	16754	1	100	0
201000	0	16754	1	100	0
201001	0	16753	1	100	0
203331	0	17058	25	0	0
203331	1	17168	25	0	0
203331	2	17166	25	0	0
203331	3	17167	25	0	0
203331	4	17142	25	100	0
203338	0	17118	34	0	0
203338	1	17115	34	0	0
203338	2	17120	34	0	0
203338	3	17198	34	0	0
203338	4	17286	34	0	0
203338	5	17288	34	0	0
203338	6	17108	34	0	0
203338	7	17287	34	0	0
203338	8	17155	34	100	0
203355	0	16521	47	0	0
203355	1	18353	47	0	0
203355	2	18014	47	100	0
203360	0	16531	43	0	0
203360	1	18354	43	0	0
203360	2	18014	43	100	0
203361	0	16531	46	0	0
203361	1	18354	46	0	0
203361	2	18014	46	100	0
203362	0	16531	47	0	0
203362	1	18354	47	0	0
203362	2	18014	47	100	0
203364	0	16521	41	0	0
203364	1	18353	41	0	0
203364	2	18014	41	100	0
203365	0	16521	11	0	0
203365	1	18353	11	0	0
203365	2	18014	11	100	0
203378	0	17105	42	0	0
203378	1	17106	42	0	0
203378	2	17102	42	0	0
203378	3	17099	42	0	0
203378	4	17104	42	0	0
203378	5	17149	42	100	0
203379	0	17059	42	0	0
203379	1	17081	42	0	0
203379	2	17082	42	0	0
203379	3	17064	42	0	0
203379	4	17083	42	0	0
203379	5	17078	42	0	0
203379	6	17571	42	0	0
203379	7	17144	42	100	0
203380	0	16521	38	0	0
203380	1	18353	38	0	0
203380	2	18014	38	100	0
203381	0	17132	42	0	0
203381	1	17133	42	0	0
203381	2	17126	42	0	0
203381	3	17128	42	0	0
203381	4	17122	42	0	0
203381	5	17124	42	0	0
203381	6	17159	42	100	0
203381	7	17213	42	0	0
203381	8	17217	42	0	0
203901	0	17165	36	0	0
203901	1	17071	36	0	0
203901	2	17075	36	0	0
203901	3	17070	36	0	0
203901	4	17074	36	0	0
203901	5	17069	36	0	0
203901	6	17073	36	0	0
203901	7	17068	36	0	0
203901	8	17072	36	0	0
203901	9	17076	36	0	0
203901	10	17146	36	100	0
203902	0	17118	41	0	0
203902	1	17115	41	0	0
203902	2	17120	41	0	0
203902	3	17198	41	0	0
203902	4	17286	41	0	0
203902	5	17288	41	0	0
203902	6	17108	41	0	0
203902	7	17287	41	0	0
203902	8	17155	41	100	0
203903	0	17134	41	0	0
203903	1	17124	41	0	0
203903	2	17133	41	0	0
203903	3	17129	41	0	0
203903	4	17290	41	0	0
203903	5	17137	41	0	0
203903	6	17135	41	0	0
203903	7	17136	41	0	0
203903	8	17122	41	0	0
203903	9	17121	41	0	0
203903	10	17160	41	100	0
203903	11	17215	41	0	0
203903	12	17217	41	0	0
203905	0	17059	41	0	0
203905	1	17081	41	0	0
203905	2	17082	41	0	0
203905	3	17064	41	0	0
203905	4	17083	41	0	0
203905	5	17078	41	0	0
203905	6	17571	41	0	0
203905	7	17144	41	100	0
203915	0	17061	41	0	0
203915	1	17066	41	0	0
203915	2	17067	41	0	0
203915	3	17283	41	0	0
203915	4	17081	41	0	0
203915	5	17082	41	0	0
203915	6	17282	41	0	0
203915	7	17281	41	0	0
203915	8	17145	41	100	0
203916	0	17061	41	0	0
203916	1	17066	41	0	0
203916	2	17067	41	0	0
203916	3	17283	41	0	0
203916	4	17081	41	0	0
203916	5	17082	41	0	0
203916	6	17282	41	0	0
203916	7	17281	41	0	0
203916	8	17145	41	100	0
203937	0	17059	41	0	0
203937	1	17081	41	0	0
203937	2	17082	41	0	0
203937	3	17064	41	0	0
203937	4	17083	41	0	0
203937	5	17078	41	0	0
203937	6	17571	41	0	0
203937	7	17144	41	100	0
203941	0	17059	36	0	0
203941	1	17081	36	0	0
203941	2	17082	36	0	0
203941	3	17064	36	0	0
203941	4	17083	36	0	0
203941	5	17078	36	0	0
203941	6	17571	36	0	0
203941	7	17144	36	100	0
203942	0	17059	36	0	0
203942	1	17081	36	0	0
203942	2	17082	36	0	0
203942	3	17064	36	0	0
203942	4	17083	36	0	0
203942	5	17078	36	0	0
203942	6	17571	36	0	0
203942	7	17144	36	100	0
203946	0	17061	41	0	0
203946	1	17066	41	0	0
203946	2	17067	41	0	0
203946	3	17283	41	0	0
203946	4	17081	41	0	0
203946	5	17082	41	0	0
203946	6	17282	41	0	0
203946	7	17281	41	0	0
203946	8	17145	41	100	0
203947	0	17059	36	0	0
203947	1	17081	36	0	0
203947	2	17082	36	0	0
203947	3	17064	36	0	0
203947	4	17083	36	0	0
203947	5	17078	36	0	0
203947	6	17571	36	0	0
203947	7	17144	36	100	0
203948	0	17059	36	0	0
203948	1	17081	36	0	0
203948	2	17082	36	0	0
203948	3	17064	36	0	0
203948	4	17083	36	0	0
203948	5	17078	36	0	0
203948	6	17571	36	0	0
203948	7	17144	36	100	0
203955	0	17065	36	0	0
203955	1	17078	36	0	0
203955	2	17080	36	0	0
203955	3	17083	36	0	0
203955	4	17230	36	0	0
203955	5	17143	36	100	0
203956	0	17065	36	0	0
203956	1	17078	36	0	0
203956	2	17080	36	0	0
203956	3	17083	36	0	0
203956	4	17230	36	0	0
203956	5	17143	36	100	0
203957	0	17065	36	0	0
203957	1	17078	36	0	0
203957	2	17080	36	0	0
203957	3	17083	36	0	0
203957	4	17230	36	0	0
203957	5	17143	36	100	0
203968	0	17059	36	0	0
203968	1	17081	36	0	0
203968	2	17082	36	0	0
203968	3	17064	36	0	0
203968	4	17083	36	0	0
203968	5	17078	36	0	0
203968	6	17571	36	0	0
203968	7	17144	36	100	0
203992	0	17121	24	30	0
203992	1	17123	24	15	0
203992	2	17157	24	100	0
203993	0	17121	24	30	0
203993	1	17123	24	15	0
203993	2	17157	24	100	0
203995	0	17132	36	0	0
203995	1	17133	36	0	0
203995	2	17126	36	0	0
203995	3	17128	36	0	0
203995	4	17122	36	0	0
203995	5	17124	36	0	0
203995	6	17159	36	100	0
203995	7	17213	36	0	0
203995	8	17217	36	0	0
203996	0	17198	36	0	0
203996	1	17202	36	0	0
203996	2	17209	36	0	0
203996	3	17201	36	0	0
203996	4	17207	36	0	0
203996	5	17200	36	0	0
203996	6	17206	36	0	0
203996	7	17199	36	0	0
203996	8	17204	36	0	0
203996	9	17205	36	0	0
203996	10	17156	36	100	0
203996	11	17203	36	100	0
203998	0	17131	36	0	0
203998	1	17126	36	0	0
203998	2	17135	36	0	0
203998	3	17124	36	0	0
203998	4	17121	36	0	0
203998	5	17158	36	100	0
203998	6	17212	36	0	0
203998	7	17217	36	0	0
203999	0	17131	36	0	0
203999	1	17126	36	0	0
203999	2	17135	36	0	0
203999	3	17124	36	0	0
203999	4	17121	36	0	0
203999	5	17158	36	100	0
203999	6	17212	36	0	0
203999	7	17217	36	0	0
204023	0	16448	1	20	0
204024	0	16783	29	0	0
