npc_id	call	range	names	pattern
277576	41101	13	target	Gab1_LGuard_Boss_01
277577	41101	13	target	Gab1_LGuard_Boss_01
277578	41101	13	target	Gab1_LGuard_Boss_01
277579	41101	13	target	Gab1_LGuard_Boss_01
277580	41001	13	target	Gab1_VritraGuard_Boss_01
277581	41101	13	target	Gab1_LGuard_Boss_01
277582	41101	13	target	Gab1_LGuard_Boss_01
277583	41101	13	target	Gab1_LGuard_Boss_01
277584	41101	13	target	Gab1_LGuard_Boss_01
277585	41001	13	target	Gab1_VritraGuard_Boss_01
277586	41101	13	target	Gab1_LGuard_Boss_01
277587	41101	13	target	Gab1_LGuard_Boss_01
277588	41101	13	target	Gab1_LGuard_Boss_01
277589	41101	13	target	Gab1_LGuard_Boss_01
277590	41001	13	target	Gab1_VritraGuard_Boss_01
277591	41101	13	target	Gab1_LGuard_Boss_01
277592	41101	13	target	Gab1_LGuard_Boss_01
277593	41101	13	target	Gab1_LGuard_Boss_01
277594	41101	13	target	Gab1_LGuard_Boss_01
277595	41001	13	target	Gab1_VritraGuard_Boss_01
277656	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277657	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277658	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277659	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277660	41000	25	target	Gab1_Gaurd_Watch_PR_Rn
277661	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277662	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277663	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277664	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277665	41000	25	target	Gab1_Gaurd_Watch_PR_Rn
277666	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277667	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277668	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277669	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277670	41000	25	target	Gab1_Gaurd_Watch_PR_Rn
277671	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277672	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277673	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277674	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277675	41000	25	target	Gab1_Gaurd_Watch_PR_Rn
277676	41100	13	target	Gab1_LGuard_05
277677	41100	13	target	Gab1_LGuard_05
277678	41100	13	target	Gab1_LGuard_05
277679	41100	13	target	Gab1_LGuard_05
277680	41000	13	target	Gab1_Gaurd_An
277681	41100	13	target	Gab1_LGuard_05
277682	41100	13	target	Gab1_LGuard_05
277683	41100	13	target	Gab1_LGuard_05
277684	41100	13	target	Gab1_LGuard_05
277685	41000	13	target	Gab1_Gaurd_An
277686	41100	13	target	Gab1_LGuard_05
277687	41100	13	target	Gab1_LGuard_05
277688	41100	13	target	Gab1_LGuard_05
277689	41100	13	target	Gab1_LGuard_05
277690	41000	13	target	Gab1_Gaurd_An
277691	41100	13	target	Gab1_LGuard_05
277692	41100	13	target	Gab1_LGuard_05
277693	41100	13	target	Gab1_LGuard_05
277694	41100	13	target	Gab1_LGuard_05
277695	41000	13	target	Gab1_Gaurd_An
277720	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277721	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277722	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277723	41100	25	target	Gab1_Gaurd_Ra_An_Broad
277724	41000	25	target	Gab1_Gaurd_Watch_PR_Rn
