npc_id	first_ms	period_ms	range	pattern
231630	0	5000	20	LDF5_Village_chief01
231631	0	5000	20	LDF5_Village_chief01
231632	0	5000	20	LDF5_Village_chief01
231633	0	5000	20	LDF5_Village_chief02
231634	0	5000	20	LDF5_Village_chief02
231635	0	5000	20	LDF5_Village_chief02
231636	0	5000	20	LDF5_Village_chief03
231637	0	5000	20	LDF5_Village_chief03
231638	0	5000	20	LDF5_Village_chief03
231639	0	5000	20	LDF5_Village_chief04
231640	0	5000	20	LDF5_Village_chief04
231641	0	5000	20	LDF5_Village_chief04
231642	0	5000	20	LDF5_Village_chief05
231643	0	5000	20	LDF5_Village_chief05
231644	0	5000	20	LDF5_Village_chief05
231645	0	5000	20	LDF5_Village_chief06
231646	0	5000	20	LDF5_Village_chief06
231647	0	5000	20	LDF5_Village_chief06
231648	0	5000	20	LDF5_Village_chief07
231649	0	5000	20	LDF5_Village_chief07
231650	0	5000	20	LDF5_Village_chief07
231651	0	5000	20	LDF5_Village_chief08
231652	0	5000	20	LDF5_Village_chief08
231653	0	5000	20	LDF5_Village_chief08
231654	0	5000	20	LDF5_Village_chief09
231655	0	5000	20	LDF5_Village_chief09
231656	0	5000	20	LDF5_Village_chief09
231657	0	5000	20	LDF5_Village_chief10
231658	0	5000	20	LDF5_Village_chief10
231659	0	5000	20	LDF5_Village_chief10
231660	0	5000	20	LDF5_Village_chief11
231661	0	5000	20	LDF5_Village_chief11
231662	0	5000	20	LDF5_Village_chief11
231663	0	5000	20	LDF5_Village_chief12
231664	0	5000	20	LDF5_Village_chief12
231665	0	5000	20	LDF5_Village_chief12
231666	0	5000	20	LDF5_Village_chief13
231667	0	5000	20	LDF5_Village_chief13
231668	0	5000	20	LDF5_Village_chief13
231669	0	5000	20	LDF5_Village_chief14
231670	0	5000	20	LDF5_Village_chief14
231671	0	5000	20	LDF5_Village_chief14
231672	0	5000	20	LDF5_Village_chief15
231673	0	5000	20	LDF5_Village_chief15
231674	0	5000	20	LDF5_Village_chief15
231675	0	5000	20	LDF5_Village_chief16
231676	0	5000	20	LDF5_Village_chief16
231677	0	5000	20	LDF5_Village_chief16
231678	0	5000	20	LDF5_Village_chief17
231679	0	5000	20	LDF5_Village_chief17
231680	0	5000	20	LDF5_Village_chief17
231681	0	5000	20	LDF5_Village_chief18
231682	0	5000	20	LDF5_Village_chief18
231683	0	5000	20	LDF5_Village_chief18
231684	0	5000	20	LDF5_Village_chief19
231685	0	5000	20	LDF5_Village_chief19
231686	0	5000	20	LDF5_Village_chief19
234032	0	5000	20	LDF5_Village_chief01
234033	0	5000	20	LDF5_Village_chief01
234034	0	5000	20	LDF5_Village_chief01
234035	0	5000	20	LDF5_Village_chief02
234036	0	5000	20	LDF5_Village_chief02
234037	0	5000	20	LDF5_Village_chief02
234038	0	37000	20	LDF5_Fortress_MistOn_Vil_Chief03
234039	0	37000	20	LDF5_Fortress_MistOn_Vil_Chief03
234040	0	37000	20	LDF5_Fortress_MistOn_Vil_Chief03
234041	0	37000	20	LDF5_Fortress_MistOn_Vil_Chief04
