npc_id	call	range	names	pattern
209573	23200	25	self	F5_Safety_DGuard_Ra_An_Broad
209575	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
209576	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
209580	23200	25	self	F5_PvP_DGuard_Ra_Ae_Broad
209581	23200	25	self	F5_PvP_DGuard_Ra_Ae_Broad
209631	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
209634	23200	25	self	F5_PvP_DGuard_Ra_Ae_Broad
209671	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
209672	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
209814	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
209815	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
209816	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
220110	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
220114	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
220116	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
220118	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
220148	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
231725	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
231730	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
231735	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
231740	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
231745	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
231750	23200	25	self	F5_PvP_DGuard_Ra_Ae_Broad
231755	23200	25	self	F5_PvP_DGuard_Ra_Ae_Broad
231818	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
231821	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
231824	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
231827	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
231830	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
231833	23200	25	self	F5_PvP_DGuard_Ra_Ae_Broad
231838	23200	25	self	F5_PvP_DGuard_Ra_Ae_Broad
231997	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232000	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232003	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232006	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232009	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232292	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232297	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232302	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232307	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232312	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232317	23200	25	self	F5_PvP_DGuard_Ra_Ae_Broad
232322	23200	25	self	F5_PvP_DGuard_Ra_Ae_Broad
232327	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232332	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232337	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232342	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232347	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232352	23200	25	self	F5_PvP_DGuard_Ra_Ae_Broad
232357	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232362	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232367	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232372	23200	25	self	F5_PvP_DGuard_Ra_Ae_Broad
232377	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232382	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232541	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232544	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232547	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232550	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232553	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232556	23200	25	self	F5_PvP_DGuard_Ra_Ae_Broad
232560	23200	25	self	F5_PvP_DGuard_Ra_Ae_Broad
232564	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232567	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232570	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232573	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232576	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232579	23200	25	self	F5_PvP_DGuard_Ra_Ae_Broad
232583	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232586	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232589	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232592	23200	25	self	F5_PvP_DGuard_Ra_Ae_Broad
232596	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
232599	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
233076	23200	25	self	IDF5_U2_Dark_Fi_solo_65_An2
233129	23200	25	self	IDF5_U2_Dark_Fi_party_65_Ae2
233135	23200	25	self	IDF5_U2_Dark_Fi_party_65_Ae2
233395	23200	25	self	IDF5_U2_Dark_Fi_solo_65_An2
233401	23200	25	self	IDF5_U2_Dark_Fi_party_65_Ae2
233407	23200	25	self	IDF5_U2_Dark_Fi_party_65_Ae2
233964	23200	25	self	F5_PvP_DGuard_Ra_Ae_Broad
233989	23200	25	self	F5_PvP_DGuard_Ra_Ae_Broad
234052	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
234067	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
234082	23200	25	self	F5_PvP_DGuard_Ra_Ae_Broad
234097	23200	25	self	F5_PvP_DGuard_Ra_Ae_Broad
234115	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
234124	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
234336	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
234339	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
234342	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
234345	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
234348	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
234351	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
234354	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
234357	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
234360	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
234363	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
234366	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
234369	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
234372	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
234375	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
234378	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
234381	23200	25	self	F5_PvPLight_DGuard_Ra_An_Broad
