npc_id	range	pattern
217839	50	IDArena_Solo_B1_Raupid
231630	50	LDF5_Village_chief01
231631	50	LDF5_Village_chief01
231632	50	LDF5_Village_chief01
231633	50	LDF5_Village_chief02
231634	50	LDF5_Village_chief02
231635	50	LDF5_Village_chief02
231636	50	LDF5_Village_chief03
231637	50	LDF5_Village_chief03
231638	50	LDF5_Village_chief03
231639	50	LDF5_Village_chief04
231640	50	LDF5_Village_chief04
231641	50	LDF5_Village_chief04
231642	50	LDF5_Village_chief05
231643	50	LDF5_Village_chief05
231644	50	LDF5_Village_chief05
231645	50	LDF5_Village_chief06
231646	50	LDF5_Village_chief06
231647	50	LDF5_Village_chief06
231648	50	LDF5_Village_chief07
231649	50	LDF5_Village_chief07
231650	50	LDF5_Village_chief07
231651	50	LDF5_Village_chief08
231652	50	LDF5_Village_chief08
231653	50	LDF5_Village_chief08
231654	50	LDF5_Village_chief09
231655	50	LDF5_Village_chief09
231656	50	LDF5_Village_chief09
231657	50	LDF5_Village_chief10
231658	50	LDF5_Village_chief10
231659	50	LDF5_Village_chief10
231660	50	LDF5_Village_chief11
231661	50	LDF5_Village_chief11
231662	50	LDF5_Village_chief11
231663	50	LDF5_Village_chief12
231664	50	LDF5_Village_chief12
231665	50	LDF5_Village_chief12
231666	50	LDF5_Village_chief13
231667	50	LDF5_Village_chief13
231668	50	LDF5_Village_chief13
231669	50	LDF5_Village_chief14
231670	50	LDF5_Village_chief14
231671	50	LDF5_Village_chief14
231672	50	LDF5_Village_chief15
231673	50	LDF5_Village_chief15
231674	50	LDF5_Village_chief15
231675	50	LDF5_Village_chief16
231676	50	LDF5_Village_chief16
231677	50	LDF5_Village_chief16
231678	50	LDF5_Village_chief17
231679	50	LDF5_Village_chief17
231680	50	LDF5_Village_chief17
231681	50	LDF5_Village_chief18
231682	50	LDF5_Village_chief18
231683	50	LDF5_Village_chief18
231684	50	LDF5_Village_chief19
231685	50	LDF5_Village_chief19
231686	50	LDF5_Village_chief19
234032	50	LDF5_Village_chief01
234033	50	LDF5_Village_chief01
234034	50	LDF5_Village_chief01
