skill	category
17	MENTAL_DEBUFF
18	MENTAL_DEBUFF
19	CHAIN_SKILL
20	CHAIN_SKILL
245	HEAL
246	HEAL
247	HEAL
249	HEAL
250	HEAL
251	HEAL
252	HEAL
253	HEAL
254	HEAL
283	CHAIN_SKILL
285	MENTAL_DEBUFF
286	MENTAL_DEBUFF
297	HEAL
298	HEAL
305	CHAIN_SKILL
306	CHAIN_SKILL
307	CHAIN_SKILL
308	HEAL
309	HEAL
310	HEAL
311	HEAL
312	HEAL
313	HEAL
314	HEAL
315	HEAL
316	HEAL
317	HEAL
318	HEAL
319	HEAL
320	HEAL
321	HEAL
449	PHYSICAL_DEBUFF
451	PHYSICAL_DEBUFF
454	CHAIN_SKILL
455	MENTAL_DEBUFF
457	CHAIN_SKILL
458	PHYSICAL_DEBUFF
462	PHYSICAL_DEBUFF
467	PHYSICAL_DEBUFF
518	CHAIN_SKILL
555	CHAIN_SKILL
556	CHAIN_SKILL
557	CHAIN_SKILL
558	CHAIN_SKILL
559	CHAIN_SKILL
560	CHAIN_SKILL
561	CHAIN_SKILL
562	CHAIN_SKILL
572	CHAIN_SKILL
573	CHAIN_SKILL
601	CHAIN_SKILL
602	CHAIN_SKILL
603	CHAIN_SKILL
604	CHAIN_SKILL
612	PHYSICAL_DEBUFF
613	PHYSICAL_DEBUFF
614	PHYSICAL_DEBUFF
615	PHYSICAL_DEBUFF
616	PHYSICAL_DEBUFF
617	PHYSICAL_DEBUFF
618	PHYSICAL_DEBUFF
621	CHAIN_SKILL
622	CHAIN_SKILL
623	CHAIN_SKILL
624	CHAIN_SKILL
625	CHAIN_SKILL
626	CHAIN_SKILL
627	CHAIN_SKILL
628	CHAIN_SKILL
629	CHAIN_SKILL
630	CHAIN_SKILL
631	CHAIN_SKILL
632	CHAIN_SKILL
633	CHAIN_SKILL
634	CHAIN_SKILL
641	CHAIN_SKILL
642	CHAIN_SKILL
643	CHAIN_SKILL
670	CHAIN_SKILL
671	CHAIN_SKILL
672	CHAIN_SKILL
673	CHAIN_SKILL
674	CHAIN_SKILL
675	CHAIN_SKILL
676	CHAIN_SKILL
677	CHAIN_SKILL
678	CHAIN_SKILL
679	CHAIN_SKILL
680	CHAIN_SKILL
681	CHAIN_SKILL
682	CHAIN_SKILL
710	CHAIN_SKILL
711	CHAIN_SKILL
712	CHAIN_SKILL
713	CHAIN_SKILL
714	CHAIN_SKILL
715	CHAIN_SKILL
716	CHAIN_SKILL
717	CHAIN_SKILL
718	CHAIN_SKILL
719	CHAIN_SKILL
720	CHAIN_SKILL
721	CHAIN_SKILL
722	CHAIN_SKILL
723	CHAIN_SKILL
724	CHAIN_SKILL
725	CHAIN_SKILL
726	CHAIN_SKILL
739	CHAIN_SKILL
740	CHAIN_SKILL
741	CHAIN_SKILL
742	CHAIN_SKILL
743	CHAIN_SKILL
744	CHAIN_SKILL
745	CHAIN_SKILL
746	CHAIN_SKILL
747	CHAIN_SKILL
748	CHAIN_SKILL
749	CHAIN_SKILL
750	CHAIN_SKILL
751	CHAIN_SKILL
752	CHAIN_SKILL
753	CHAIN_SKILL
754	CHAIN_SKILL
758	CHAIN_SKILL
769	CHAIN_SKILL
770	CHAIN_SKILL
771	CHAIN_SKILL
772	CHAIN_SKILL
773	CHAIN_SKILL
774	CHAIN_SKILL
775	CHAIN_SKILL
776	CHAIN_SKILL
777	CHAIN_SKILL
778	CHAIN_SKILL
779	CHAIN_SKILL
780	CHAIN_SKILL
784	CHAIN_SKILL
785	CHAIN_SKILL
786	CHAIN_SKILL
787	CHAIN_SKILL
788	CHAIN_SKILL
789	CHAIN_SKILL
790	CHAIN_SKILL
791	CHAIN_SKILL
792	CHAIN_SKILL
793	CHAIN_SKILL
794	CHAIN_SKILL
795	CHAIN_SKILL
830	CHAIN_SKILL
831	CHAIN_SKILL
832	CHAIN_SKILL
833	CHAIN_SKILL
834	CHAIN_SKILL
835	CHAIN_SKILL
836	CHAIN_SKILL
837	CHAIN_SKILL
838	CHAIN_SKILL
839	CHAIN_SKILL
840	HEAL
848	PHYSICAL_DEBUFF
865	CHAIN_SKILL
866	CHAIN_SKILL
873	PHYSICAL_DEBUFF
874	PHYSICAL_DEBUFF
875	PHYSICAL_DEBUFF
876	PHYSICAL_DEBUFF
877	PHYSICAL_DEBUFF
878	PHYSICAL_DEBUFF
879	PHYSICAL_DEBUFF
880	PHYSICAL_DEBUFF
890	CHAIN_SKILL
891	CHAIN_SKILL
892	CHAIN_SKILL
893	CHAIN_SKILL
894	CHAIN_SKILL
895	CHAIN_SKILL
896	MENTAL_DEBUFF
897	MENTAL_DEBUFF
898	MENTAL_DEBUFF
899	MENTAL_DEBUFF
900	MENTAL_DEBUFF
901	MENTAL_DEBUFF
902	MENTAL_DEBUFF
903	MENTAL_DEBUFF
904	MENTAL_DEBUFF
905	MENTAL_DEBUFF
939	CHAIN_SKILL
940	CHAIN_SKILL
941	CHAIN_SKILL
942	CHAIN_SKILL
943	CHAIN_SKILL
944	CHAIN_SKILL
945	CHAIN_SKILL
