uses	world	expression
1190	ab1	SpecialServer_Cond == 1
1048	ab1	SpecialServer_Cond == 0
521	iddc1_dreadgion	dreadgion_finish_n == 1
370	IDLDF5_Under_03	N_WAVE_01 == 1
362	IDLDF5_Under_03	N_WAVE_03 == 1
362	IDLDF5_Under_03	N_WAVE_04 == 1
354	IDLDF5_Under_03	N_WAVE_02 == 1
269	df2a	DirectPortalDest_41 == 1
264	lf2a	DirectPortalDest_42 == 1
170	IDTransform	level_check == 66
170	IDTransform	level_check == 67
170	IDTransform	level_check == 68
170	IDTransform	level_check == 69
170	IDTransform	level_check == 70
170	IDTransform	level_check == 71
170	IDTransform	level_check == 72
170	IDTransform	level_check == 73
170	IDTransform	level_check == 74
170	IDTransform	level_check == 75
150	ab1	phase2 == 1
140	GAb1_01	GAb1_PvPStatus == 1
140	lf4	ldf4_sp_craid == 1
139	IDDF2_Dflame_Event	IDDF2_Dflame_Event_Reward == 1
138	lf4	ldf4_sp_c01 == 1
136	lf4	ldf4_sp_c02 == 1
136	lf4	ldf4_sp_craid == 2
126	idarena_team01	s2_track == 1
126	idarena_team01	s2_track == 2
126	idarena_team01	s2_track == 3
122	ab1	(InterServer_Cond == 0) && (SpecialServer_Cond == 0)
119	IDAb1_Ere	statdown == 1
118	idstation	(IDStation_Score <= 11) && (IDStation_Score >= 0)
109	IDAb1_Ere	da_play == 1
109	IDAb1_Ere	li_play == 1
108	GAb1_01	(v01 == 1) && (GAb1_PvPStatus == 3)
108	GAb1_01	(v01 == 6) && (GAb1_PvPStatus == 3)
108	GAb1_01	(v01 ==11) && (GAb1_PvPStatus == 3)
108	GAb1_01	(v01 ==16) && (GAb1_PvPStatus == 3)
108	GAb1_01	(v03 == 1) && (GAb1_PvPStatus == 3)
108	GAb1_01	(v03 == 11) && (GAb1_PvPStatus == 3)
108	GAb1_01	(v03 == 16) && (GAb1_PvPStatus == 3)
108	GAb1_01	(v03 == 6) && (GAb1_PvPStatus == 3)
108	GAb1_01	(v04 == 1) && (GAb1_PvPStatus == 3)
108	GAb1_01	(v04 == 11) && (GAb1_PvPStatus == 3)
108	GAb1_01	(v04 == 16) && (GAb1_PvPStatus == 3)
