uses	variable
6006	GAb1_PvPStatus
3707	SpecialServer_Cond
749	InterServer_Cond
329	DirectPortalDest_41
308	DirectPortalDest_42
246	IDTransform_A_Reward
246	IDTransform_B_Reward
246	IDTransform_C_Reward
246	IDTransform_D_Reward
246	IDTransform_F_Reward
246	IDTransform_S_Reward
236	L_BuildupLevel
233	D_BuildupLevel
202	Condition_Infinity_PRE_SEASON_Floor
189	IDSweep_Reward
156	STAGE_START
140	IDDF2_Dflame_Event_Reward
138	people_expand_con
127	on
112	[SAVE]lf4_v07
110	[SAVE]lf4_v06
110	game
96	[SAVE]lf4_v01
96	[SAVE]lf4_v02
94	[SAVE]lf4_v03
94	[SAVE]lf4_v04
94	[SAVE]lf4_v05
93	_mistoff
91	STAGE_PHASE
80	STAGE_ELITE
72	_on
58	_bottom
55	HDFP_ID_TOWN_A_1_LV
55	HDFP_ID_TOWN_A_2_LV
55	HDFP_ID_TOWN_A_3_LV
55	HDFP_ID_TOWN_A_LV
55	HDFP_ID_TOWN_B_1_LV
55	HDFP_ID_TOWN_B_2_LV
55	HDFP_ID_TOWN_B_3_LV
55	HDFP_ID_TOWN_B_4_LV
55	HDFP_ID_TOWN_B_5_LV
55	HDFP_ID_TOWN_B_6_LV
55	HDFP_ID_TOWN_B_7_LV
55	HDFP_ID_TOWN_B_8_LV
55	HDFP_ID_TOWN_B_LV
55	HDFP_ID_TOWN_C_10_LV
55	HDFP_ID_TOWN_C_11_LV
55	HDFP_ID_TOWN_C_1_LV
55	HDFP_ID_TOWN_C_2_LV
55	HDFP_ID_TOWN_C_3_LV
55	HDFP_ID_TOWN_C_4_LV
55	HDFP_ID_TOWN_C_5_LV
55	HDFP_ID_TOWN_C_6_LV
55	HDFP_ID_TOWN_C_7_LV
55	HDFP_ID_TOWN_C_8_LV
55	HDFP_ID_TOWN_C_9_LV
55	HDFP_ID_TOWN_C_LV
55	HLFP_ID_TOWN_A_1_LV
55	HLFP_ID_TOWN_A_2_LV
55	HLFP_ID_TOWN_A_3_LV
55	HLFP_ID_TOWN_A_LV
55	HLFP_ID_TOWN_B_1_LV
55	HLFP_ID_TOWN_B_2_LV
55	HLFP_ID_TOWN_B_3_LV
55	HLFP_ID_TOWN_B_4_LV
55	HLFP_ID_TOWN_B_5_LV
55	HLFP_ID_TOWN_B_6_LV
55	HLFP_ID_TOWN_B_7_LV
55	HLFP_ID_TOWN_B_8_LV
55	HLFP_ID_TOWN_B_LV
55	HLFP_ID_TOWN_C_10_LV
55	HLFP_ID_TOWN_C_11_LV
55	HLFP_ID_TOWN_C_1_LV
55	HLFP_ID_TOWN_C_2_LV
55	HLFP_ID_TOWN_C_3_LV
55	HLFP_ID_TOWN_C_4_LV
55	HLFP_ID_TOWN_C_5_LV
55	HLFP_ID_TOWN_C_6_LV
55	HLFP_ID_TOWN_C_7_LV
55	HLFP_ID_TOWN_C_8_LV
55	HLFP_ID_TOWN_C_9_LV
55	HLFP_ID_TOWN_C_LV
55	[SAVE]df6_v01
55	[SAVE]df6_v02
55	[SAVE]df6_v04
54	[SAVE]df6_v03
54	_top
51	village_dr_bm
50	_Mercenary01
49	village_dr_gm
45	IDSweep_Reward_S
42	_WaterBoom_01
40	GAB1_ATT1
40	GAB1_ATT2
40	GAB1_ATT3
40	GAB1_ATT4
40	_WaterBoom_02
40	village_dr_km
39	f_smigol
38	[SAVE]df4_v01
38	[SAVE]df4_v02
38	[SAVE]df4_v03
38	[SAVE]df4_v04
38	[SAVE]df4_v05
38	[SAVE]df4_v06
38	[SAVE]df4_v07
38	_Mercenary02
37	round_end
34	_Mercenary03
30	_WaterBoom_04
27	IDIUSTAGE2
27	STAGE_ING
26	_WaterBoom_03
26	f_hole_01
24	IDIUSTAGE1
24	STAGE_01_RANK
22	DirectPortalDest_50
21	GRADE
21	IDIUSTAGE3
20	DirectPortalDest_26
20	_rewardcon_d_set
20	_rewardcon_l_set
20	f_hole_find
18	DirectPortalDest_49
18	DirectPortalDest_51
18	f_hole
17	village_da_es
17	village_da_is
17	village_da_km
17	village_li_js
17	village_li_km
15	[SAVE]link_weapon_da
15	[SAVE]link_weapon_li
15	village_da_gs
15	village_li_bs
15	village_li_ds
14	DirectPortalDest_52
14	_Round_On
13	REWARD_MEDIUM_C
13	village_dr_js
12	DirectPortalDest_19
12	_reward_named_D
12	_reward_named_L
12	f_abuse
12	partytournament_start
11	DirectPortalDest_32
10	DirectPortalDest_47
10	nd_Boss_Room
10	village_dr_hs
9	DirectPortalDest_12
9	DirectPortalDest_14
9	DirectPortalDest_20
9	DirectPortalDest_22
9	DirectPortalDest_24
9	DirectPortalDest_27
9	DirectPortalDest_29
9	DirectPortalDest_30
9	DirectPortalDest_45
9	DirectPortalDest_46
9	DirectPortalDest_48
9	HDFP_ID_TOWN_A_1_LV_TICK
9	HDFP_ID_TOWN_A_2_LV_TICK
9	HDFP_ID_TOWN_A_3_LV_TICK
9	HDFP_ID_TOWN_A_LV_TICK
9	HDFP_ID_TOWN_B_1_LV_TICK
9	HDFP_ID_TOWN_B_2_LV_TICK
9	HDFP_ID_TOWN_B_3_LV_TICK
9	HDFP_ID_TOWN_B_4_LV_TICK
9	HDFP_ID_TOWN_B_5_LV_TICK
9	HDFP_ID_TOWN_B_6_LV_TICK
9	HDFP_ID_TOWN_B_7_LV_TICK
9	HDFP_ID_TOWN_B_8_LV_TICK
9	HDFP_ID_TOWN_B_LV_TICK
9	HDFP_ID_TOWN_C_10_LV_TICK
9	HDFP_ID_TOWN_C_11_LV_TICK
9	HDFP_ID_TOWN_C_1_LV_TICK
9	HDFP_ID_TOWN_C_2_LV_TICK
9	HDFP_ID_TOWN_C_3_LV_TICK
9	HDFP_ID_TOWN_C_4_LV_TICK
9	HDFP_ID_TOWN_C_5_LV_TICK
9	HDFP_ID_TOWN_C_6_LV_TICK
9	HDFP_ID_TOWN_C_7_LV_TICK
9	HDFP_ID_TOWN_C_8_LV_TICK
9	HDFP_ID_TOWN_C_9_LV_TICK
9	HDFP_ID_TOWN_C_LV_TICK
9	HLFP_ID_TOWN_A_1_LV_TICK
9	HLFP_ID_TOWN_A_2_LV_TICK
9	HLFP_ID_TOWN_A_3_LV_TICK
9	HLFP_ID_TOWN_A_LV_TICK
9	HLFP_ID_TOWN_B_1_LV_TICK
9	HLFP_ID_TOWN_B_2_LV_TICK
9	HLFP_ID_TOWN_B_3_LV_TICK
9	HLFP_ID_TOWN_B_4_LV_TICK
9	HLFP_ID_TOWN_B_5_LV_TICK
9	HLFP_ID_TOWN_B_6_LV_TICK
9	HLFP_ID_TOWN_B_7_LV_TICK
9	HLFP_ID_TOWN_B_8_LV_TICK
9	HLFP_ID_TOWN_B_LV_TICK
9	HLFP_ID_TOWN_C_10_LV_TICK
9	HLFP_ID_TOWN_C_11_LV_TICK
9	HLFP_ID_TOWN_C_1_LV_TICK
9	HLFP_ID_TOWN_C_2_LV_TICK
9	HLFP_ID_TOWN_C_3_LV_TICK
9	HLFP_ID_TOWN_C_4_LV_TICK
9	HLFP_ID_TOWN_C_5_LV_TICK
9	HLFP_ID_TOWN_C_6_LV_TICK
9	HLFP_ID_TOWN_C_7_LV_TICK
9	HLFP_ID_TOWN_C_8_LV_TICK
9	HLFP_ID_TOWN_C_9_LV_TICK
9	HLFP_ID_TOWN_C_LV_TICK
9	SpawnSum_1
9	SpawnSum_2
8	DirectPortalDest_23
8	DirectPortalDest_28
8	DirectPortalDest_31
8	rd_Boss_Room
7	DarkOwnedTower
7	DirectPortalDest_21
7	DirectPortalDest_25
7	GAB1_DARK_MATCHMAKER_IN_PVP
7	GAB1_LIGHT_MATCHMAKER_IN_PVP
7	LightOwnedTower
7	REWARD_SMALL_C
7	_middle
7	f_decompose
7	st_Boss_Room
7	village_dr_ds
7	village_dr_gs
6	DirectPortalDest_13
6	DirectPortalDest_16
6	DirectPortalDest_17
6	DirectPortalDest_18
6	Q_IdSpawn_On
6	Wave_3_R
6	hidden_D
6	hidden_L
6	village_dr_cs
6	village_dr_es
6	village_dr_is
5	DirectPortalDest_69
5	DirectPortalDest_70
5	DirectPortalDest_71
5	DirectPortalDest_72
5	IDLegion_Out
5	SpawnPointGrouptest7
5	off
4	HealTower
4	SpawnPointGrouptest4
4	SpawnPointGrouptest5
4	SpawnPointGrouptest6
4	SpawnPointGrouptest8
4	WorldRaid_underpass_0034
