string_id	name	uses
321928	BF4_Guard_Dr_Assassin_55_As_GChief	2
1401552	IDTIAMAT_TIAMAT_ANNOUNCE_DMG_SHRING	8
1401563	IDTIAMAT_TIAMAT_COUNTDOWN_OVER	2
1401547	IDTIAMAT_TIAMAT_COUNTDOWN_START	2
1401550	IDTIAMAT_TIAMAT_DRAKAN_BUFF_MSG	2
1401551	IDTIAMAT_TIAMAT_DRAKAN_ON_DIE	4
1401549	IDTIAMAT_TIAMAT_GOD_HP_LOWER_THAN_15p	4
1401548	IDTIAMAT_TIAMAT_GOD_HP_LOWER_THAN_50p	4
1301049	STR_ABYSS_DOOR_BROKEN	1
1403113	STR_Ab1_BossNamed_65_Al_Despawn_Crotan	7
1403119	STR_Ab1_BossNamed_65_Al_Despawn_dkisas	4
1403116	STR_Ab1_BossNamed_65_Al_Despawn_lamiren	1
1403114	STR_Ab1_BossNamed_65_Al_Die_Crotan	4
1403120	STR_Ab1_BossNamed_65_Al_Die_dkisas	12
1403117	STR_Ab1_BossNamed_65_Al_Die_lamiren	8
1403768	STR_Ab1_BossNamed_65_Al_Spawnmsg_01	1
1403769	STR_Ab1_BossNamed_65_Al_Spawnmsg_02	1
1403770	STR_Ab1_BossNamed_65_Al_Spawnmsg_03	1
1404492	STR_Ab1_Final_Artifact_01	2
1404493	STR_Ab1_Final_Artifact_02	2
1404523	STR_Ab1_Final_Artifact_03	2
1404539	STR_Ab1_Final_Artifact_05	2
1404541	STR_Ab1_Final_Artifact_07	2
1404521	STR_Ab1_Page2_01	1
1404522	STR_Ab1_Page2_02	1
1404496	STR_Ab1_Tower_01	5
1404497	STR_Ab1_Tower_02	5
1404498	STR_Ab1_Tower_03	5
1404500	STR_Ab1_Tower_05	5
1400132	STR_CANNOT_USE_DIRECT_PORTAL_BY_SLAYER	1
1500530	STR_CHAT_4BReward_Named_001_Die	1
1500528	STR_CHAT_4BReward_Named_001_EnterBattle	1
1500529	STR_CHAT_4BReward_Named_001_LeaveBattle	1
1500533	STR_CHAT_4BReward_Named_001_Skill0	1
1500532	STR_CHAT_4BReward_Named_001_Skill1	1
1500531	STR_CHAT_4BReward_Named_001_Skill2	3
1500536	STR_CHAT_4BReward_Named_002_Die	1
1500534	STR_CHAT_4BReward_Named_002_EnterBattle	1
1500535	STR_CHAT_4BReward_Named_002_LeaveBattle	1
1500537	STR_CHAT_4BReward_Named_002_Skill0	3
1500538	STR_CHAT_4BReward_Named_002_Skill1	1
1500539	STR_CHAT_4BReward_Named_002_Skill2	1
1500547	STR_CHAT_4BReward_Named_FinalEX_Skill4	1
1500542	STR_CHAT_4BReward_Named_Final_Die	2
1500540	STR_CHAT_4BReward_Named_Final_EnterBattle	2
1500541	STR_CHAT_4BReward_Named_Final_LeaveBattle	2
1500548	STR_CHAT_4BReward_Named_Final_Rage	2
1500543	STR_CHAT_4BReward_Named_Final_SKill3	6
1500546	STR_CHAT_4BReward_Named_Final_Skill0	2
1500544	STR_CHAT_4BReward_Named_Final_Skill1	2
1500545	STR_CHAT_4BReward_Named_Final_Skill2	14
1500526	STR_CHAT_4BReward_Named_Key_Die	2
1500524	STR_CHAT_4BReward_Named_Key_EnterBattle	2
1500525	STR_CHAT_4BReward_Named_Key_LeaveBattle	2
1500527	STR_CHAT_4BReward_Named_Key_Skill1	2
340700	STR_CHAT_AIPattern_ShoutA	2
340701	STR_CHAT_AIPattern_ShoutB	1
340703	STR_CHAT_AIPattern_ShoutD	9
341526	STR_CHAT_Ab1_GChief_PMAttack	33
341525	STR_CHAT_Ab1_GChief_RageTA	9
1501687	STR_CHAT_Ab1_ShugoShip_Leader_Gossip_01	2
341098	STR_CHAT_Ab1_Undead_AIPattern_1	16
1501392	STR_CHAT_Ab1_WorldRaid_Boss_01	12
1501395	STR_CHAT_Ab1_WorldRaid_Boss_04	12
1501396	STR_CHAT_Ab1_WorldRaid_Boss_05	24
1501397	STR_CHAT_Ab1_WorldRaid_Boss_Skill_01	96
1501371	STR_CHAT_Adma_Boss_Gossip_01	2
1501365	STR_CHAT_Adma_Pot_Gossip_01	3
1501366	STR_CHAT_Adma_Pot_Gossip_02	2
1501367	STR_CHAT_Adma_Pot_Gossip_03	2
342283	STR_CHAT_AngryJudge_10	1
1500171	STR_CHAT_AngryJudge_Patterns_01	2
1500172	STR_CHAT_AngryJudge_Patterns_02	1
1500173	STR_CHAT_AngryJudge_Patterns_03	1
1500174	STR_CHAT_AngryJudge_Patterns_04	4
342248	STR_CHAT_AssiJudge_03	1
1500159	STR_CHAT_AssiJudge_Patterns_01	1
1500160	STR_CHAT_AssiJudge_Patterns_02	1
1500161	STR_CHAT_AssiJudge_Patterns_03	1
341089	STR_CHAT_BAb1_NM_NagaWiCaptain_42_Al_1_Katk10_b	2
341057	STR_CHAT_BAb1_NM_NeutEgg_41_An_1_Katk1_b	1
341066	STR_CHAT_BAb1_NM_TricoAsteria_32_An_1_Katk2_b	2
340937	STR_CHAT_BD3_PLehpar_FnA2_40_An_1_Katk3_b	2
340955	STR_CHAT_BD3_PLehpar_WnA2_40_An_1_Katk3_b	1
340131	STR_CHAT_BDF1_LycanSeekerM_18_An_1_Katk4_b	2
340116	STR_CHAT_BDF1_RatmanWorker_Su_7n_1_Katk1_b	2
340097	STR_CHAT_BDF1_RatmanWorker_Su_7n_1_Katk2_b	1
340098	STR_CHAT_BDF1_direbeast_Pet_15_An_1_Katk2_b	4
340521	STR_CHAT_BDF2_NLycan_KeB_30_An_1_katk5_b	2
340522	STR_CHAT_BDF2_NLycan_KeB_30_An_1_katk6_b	1
340529	STR_CHAT_BDF2_NLycan_Pet_A_30_n_1_katk2_b	2
340590	STR_CHAT_BDF2_NLycan_WeA_30_An_1_katk4_b	1
340534	STR_CHAT_BDF2_NRatman_FnA_30_n_1_katk1_b	2
340549	STR_CHAT_BDF2_XLehpar_KeA_30_An_1_katk2_b	1
340552	STR_CHAT_BDF2_XLehpar_KeB_30_An_1_katk2_b	1
340568	STR_CHAT_BDF2_XLehpar_PeA_30_An_1_katk4_b	2
1500119	STR_CHAT_BDF4_Dramata_57_Al_1_die_b	1
1500117	STR_CHAT_BDF4_Dramata_57_Al_1_kcast13_b	6
1500115	STR_CHAT_BDF4_Dramata_57_Al_1_kcast1_b	3
1500113	STR_CHAT_BDF4_Dramata_57_Al_1_kcast4_b	1
1500120	STR_CHAT_BDF4_Dramata_57_Al_2_die_b	1
1500118	STR_CHAT_BDF4_Dramata_57_Al_2_kcast13_b	6
1500116	STR_CHAT_BDF4_Dramata_57_Al_2_kcast1_b	7
1500114	STR_CHAT_BDF4_Dramata_57_Al_2_kcast4_b	1
1500121	STR_CHAT_BDF4_Dramata_57_Al_3_die_b	1
1500140	STR_CHAT_BDF4_Henchman_60_Al_1_die_b	2
1500132	STR_CHAT_BDF4_Henchman_60_Al_1_kcast1_b	10
1500135	STR_CHAT_BDF4_Henchman_60_Al_1_kcast2_b	1
1500141	STR_CHAT_BDF4_Henchman_60_Al_2_die_b	1
1500133	STR_CHAT_BDF4_Henchman_60_Al_2_kcast1_b	1
1500136	STR_CHAT_BDF4_Henchman_60_Al_2_kcast2_b	2
1500134	STR_CHAT_BDF4_Henchman_60_Al_3_kcast1_b	1
1500137	STR_CHAT_BDF4_Henchman_60_Al_3_kcast2_b	1
1500138	STR_CHAT_BDF4_Henchman_60_Al_WonkiockFail_1	2
1500139	STR_CHAT_BDF4_Henchman_60_Al_WonkiockFail_2	1
341572	STR_CHAT_BIDDF2A_NM_DeathKnight_50_Ah_1_Kcast10_b	3
341657	STR_CHAT_BIDDF2A_NM_DeathKnight_50_Ah_AIPattern_1	7
341658	STR_CHAT_BIDDF2A_NM_DeathKnight_50_Ah_AIPattern_2	7
341659	STR_CHAT_BIDDF2A_NM_DeathKnight_50_Ah_AIPattern_3	7
341636	STR_CHAT_BIDDF2A_NM_GraveKnight_50_Ae_AIPattern_1	1
341637	STR_CHAT_BIDDF2A_NM_GraveKnight_50_Ae_AIPattern_2	1
341660	STR_CHAT_BIDDF2A_NM_Princess_50_Ah_AIPattern_1	5
341661	STR_CHAT_BIDDF2A_NM_Princess_50_Ah_AIPattern_2	5
341662	STR_CHAT_BIDDF2A_NM_Princess_50_Ah_AIPattern_3	5
341652	STR_CHAT_BIDDF2A_NM_Succubus_50_Ae_AIPattern_1	4
341560	STR_CHAT_BIDDF2A_SkeletonMageSum_50_An_AIPattern_1___t	1
342773	STR_CHAT_BIDF5_R2_Killer_65_Ae_01	1
342774	STR_CHAT_BIDF5_R2_Killer_65_Ae_02	1
342775	STR_CHAT_BIDF5_R2_Killer_65_Ae_03	1
342776	STR_CHAT_BIDF5_R2_Nor2_N_65_Ah_01	1
342777	STR_CHAT_BIDF5_R2_Nor2_N_65_Ah_02	1
342778	STR_CHAT_BIDF5_R2_Nor2_N_65_Ah_03	1
342779	STR_CHAT_BIDF5_R2_Nor2_N_65_Ah_04	1
