beacon	delay_ms	damage_npc	live	at_self	x	y	z	pattern
283155	2000	283055	2	0	445.0	550.7	417.4	IDTiamat_Breath_Beacon1
283156	2000	283068	2	0	457.8	514.7	417.4	IDTiamat_Breath_Beacon2
283156	2000	283068	2	0	462.3	514.6	417.4	IDTiamat_Breath_Beacon2
283156	2000	283068	2	0	466.6	514.6	417.4	IDTiamat_Breath_Beacon2
283156	2000	283068	2	0	469.7	514.5	417.4	IDTiamat_Breath_Beacon2
283156	2000	283068	2	0	473.6	514.5	417.4	IDTiamat_Breath_Beacon2
283156	2000	283068	2	0	475.8	514.4	417.4	IDTiamat_Breath_Beacon2
283156	2000	283068	2	0	479.3	514.4	417.4	IDTiamat_Breath_Beacon2
283156	2000	283068	2	0	482.7	514.3	417.4	IDTiamat_Breath_Beacon2
283156	2000	283068	2	0	485.2	514.3	417.4	IDTiamat_Breath_Beacon2
283156	2000	283068	2	0	488.1	514.3	417.4	IDTiamat_Breath_Beacon2
283156	2000	283068	2	0	491.2	514.2	417.4	IDTiamat_Breath_Beacon2
283157	2000	283069	2	0	454.1	474.9	417.4	IDTiamat_Breath_Beacon3
283234	2000	283235	3	1	0.0	0.0	0.0	IDTiamat_Tiamat_BeaconL4s
283236	2000	283237	3	1	0.0	0.0	0.0	IDTiamat_Tiamat_BeaconL8s
283238	2000	283239	2	0	457.8	514.7	417.4	IDTiamat_Tiamat_BeaconM4s
283238	2000	283239	2	0	462.3	514.6	417.4	IDTiamat_Tiamat_BeaconM4s
283238	2000	283239	2	0	466.6	514.6	417.4	IDTiamat_Tiamat_BeaconM4s
283238	2000	283239	2	0	469.7	514.5	417.4	IDTiamat_Tiamat_BeaconM4s
283238	2000	283239	2	0	473.6	514.5	417.4	IDTiamat_Tiamat_BeaconM4s
283238	2000	283239	2	0	475.8	514.4	417.4	IDTiamat_Tiamat_BeaconM4s
283238	2000	283239	2	0	479.3	514.4	417.4	IDTiamat_Tiamat_BeaconM4s
283238	2000	283239	2	0	482.7	514.3	417.4	IDTiamat_Tiamat_BeaconM4s
283238	2000	283239	2	0	485.2	514.3	417.4	IDTiamat_Tiamat_BeaconM4s
283238	2000	283239	2	0	488.1	514.3	417.4	IDTiamat_Tiamat_BeaconM4s
283238	2000	283239	2	0	491.2	514.2	417.4	IDTiamat_Tiamat_BeaconM4s
283240	2000	283241	2	0	457.8	514.7	417.4	IDTiamat_Tiamat_BeaconM8s
283240	2000	283241	2	0	462.3	514.6	417.4	IDTiamat_Tiamat_BeaconM8s
283240	2000	283241	2	0	466.6	514.6	417.4	IDTiamat_Tiamat_BeaconM8s
283240	2000	283241	2	0	469.7	514.5	417.4	IDTiamat_Tiamat_BeaconM8s
283240	2000	283241	2	0	473.6	514.5	417.4	IDTiamat_Tiamat_BeaconM8s
283240	2000	283241	2	0	475.8	514.4	417.4	IDTiamat_Tiamat_BeaconM8s
283240	2000	283241	2	0	479.3	514.4	417.4	IDTiamat_Tiamat_BeaconM8s
283240	2000	283241	2	0	482.7	514.3	417.4	IDTiamat_Tiamat_BeaconM8s
283240	2000	283241	2	0	485.2	514.3	417.4	IDTiamat_Tiamat_BeaconM8s
283240	2000	283241	2	0	488.1	514.3	417.4	IDTiamat_Tiamat_BeaconM8s
283240	2000	283241	2	0	491.2	514.2	417.4	IDTiamat_Tiamat_BeaconM8s
283242	2000	283243	3	1	0.0	0.0	0.0	IDTiamat_Tiamat_BeaconR4s
283244	2000	283245	3	1	0.0	0.0	0.0	IDTiamat_Tiamat_BeaconR8s
856112	2000	856113	3	1	0.0	0.0	0.0	IDTiamat_Hard_BeaconL4s
856114	2000	856115	3	1	0.0	0.0	0.0	IDTiamat_Hard_BeaconL8s
856116	2000	856117	2	0	457.8	514.7	417.4	IDTiamat_Hard_BeaconM4s
856116	2000	856117	2	0	462.3	514.6	417.4	IDTiamat_Hard_BeaconM4s
856116	2000	856117	2	0	466.6	514.6	417.4	IDTiamat_Hard_BeaconM4s
856116	2000	856117	2	0	469.7	514.5	417.4	IDTiamat_Hard_BeaconM4s
856116	2000	856117	2	0	473.6	514.5	417.4	IDTiamat_Hard_BeaconM4s
856116	2000	856117	2	0	475.8	514.4	417.4	IDTiamat_Hard_BeaconM4s
856116	2000	856117	2	0	479.3	514.4	417.4	IDTiamat_Hard_BeaconM4s
856116	2000	856117	2	0	482.7	514.3	417.4	IDTiamat_Hard_BeaconM4s
856116	2000	856117	2	0	485.2	514.3	417.4	IDTiamat_Hard_BeaconM4s
