band	step	timer	next_timer	delay_ms	label	skill_indices	npc_id	count	x	y	z	dir	live
76-100	0	0	1	18000	BreathM1_100-76	2	283156	1	458.5	514.7	417.4	0	7
76-100	1	1	2	18000	BreathM2_100-76	2	283156	1	458.5	514.7	417.4	0	7
76-100	2	2	3	18000	BreathL_100-76	1	283155	1	458.5	514.7	417.4	17	7
76-100	3	3	0	18000	BreathR_100-76	3	283157	1	458.5	514.7	417.4	105	7
51-74	4	0	1	18000	BreathL_75-51	1	283155	1	458.5	514.7	417.4	17	7
51-75	5	1	2	18000	BreathM_75-51	2	283156	1	458.5	514.7	417.4	0	7
51-75	6	2	3	15000	BreathR_75-51	3	283157	1	485.5	514.7	417.4	105	7
51-75	7	3	4	5000	Thorn_L_75-51		283057	1	459.4	510.2	417.4	0	0
51-75	7	3	4	5000	Thorn_L_75-51		283057	1	463.5	509.5	417.4	0	0
51-75	7	3	4	5000	Thorn_L_75-51		283057	1	468.3	508.7	417.4	0	0
51-75	7	3	4	5000	Thorn_L_75-51		283057	1	473.6	507.8	417.4	0	0
51-75	7	3	4	5000	Thorn_L_75-51		283057	1	478.8	506.9	417.4	0	0
51-75	7	3	4	5000	Thorn_L_75-51		283057	1	484.2	505.9	417.4	0	0
51-75	7	3	4	5000	Thorn_L_75-51		283057	1	489.6	505	417.4	0	0
51-75	7	3	4	5000	Thorn_L_75-51		283057	1	470.8	506.1	417.4	0	0
51-75	7	3	4	5000	Thorn_L_75-51		283057	1	473.5	505.3	417.4	0	0
51-75	7	3	4	5000	Thorn_L_75-51		283057	1	476	504.5	417.4	0	0
51-75	7	3	4	5000	Thorn_L_75-51		283057	1	479.1	503.3	417.4	0	0
51-75	7	3	4	5000	Thorn_L_75-51		283057	1	482.1	502.2	417.4	0	0
51-75	7	3	4	5000	Thorn_L_75-51		283057	1	484.1	501.4	417.4	0	0
51-75	8	4	5	5000	Thorn_M_75-51		283057	1	459.5	514.5	417.4	0	0
51-75	8	4	5	5000	Thorn_M_75-51		283057	1	463.7	514.5	417.4	0	0
51-75	8	4	5	5000	Thorn_M_75-51		283057	1	467.8	514.6	417.4	0	0
51-75	8	4	5	5000	Thorn_M_75-51		283057	1	470.6	514.6	417.4	0	0
51-75	8	4	5	5000	Thorn_M_75-51		283057	1	474.7	514.7	417.4	0	0
51-75	8	4	5	5000	Thorn_M_75-51		283057	1	477.4	514.7	417.4	0	0
51-75	8	4	5	5000	Thorn_M_75-51		283057	1	480.2	514.8	417.4	0	0
51-75	8	4	5	5000	Thorn_M_75-51		283057	1	469.9	513.4	417.4	0	0
51-75	8	4	5	5000	Thorn_M_75-51		283057	1	470	516.2	417.4	0	0
51-75	8	4	5	5000	Thorn_M_75-51		283057	1	473.1	516.8	417.4	0	0
51-75	8	4	5	5000	Thorn_M_75-51		283057	1	473.2	512.4	417.4	0	0
51-75	8	4	5	5000	Thorn_M_75-51		283057	1	475.9	511.4	417.4	0	0
51-75	8	4	5	5000	Thorn_M_75-51		283057	1	475.8	517.9	417.4	0	0
51-75	8	4	5	5000	Thorn_M_75-51		283057	1	478.9	510.3	417.4	0	0
51-75	8	4	5	5000	Thorn_M_75-51		283057	1	478.8	519.2	417.4	0	0
51-75	9	5	6	5000	Thorn_R_75-51		283057	1	461.6	517.5	417.4	0	0
51-75	9	5	6	5000	Thorn_R_75-51		283057	1	466	519.2	417.4	0	0
51-75	9	5	6	5000	Thorn_R_75-51		283057	1	469.8	520.7	417.4	0	0
51-75	9	5	6	5000	Thorn_R_75-51		283057	1	472.7	521.8	417.4	0	0
51-75	9	5	6	5000	Thorn_R_75-51		283057	1	475.5	523	417.4	0	0
51-75	9	5	6	5000	Thorn_R_75-51		283057	1	478	523.9	417.4	0	0
51-75	9	5	6	5000	Thorn_R_75-51		283057	1	479.8	524.6	417.4	0	0
51-75	9	5	6	5000	Thorn_R_75-51		283057	1	467.2	517.7	417.4	0	0
