caller_npc_id	pattern	option	chance	npc_id	count	x	y	z
284675	BIDRuneWP_Main_CallVritra02	0	20	231097	1	150.03	145.5	125.2
284675	BIDRuneWP_Main_CallVritra02	1	20	231096	1	150.03	145.5	125.2
284675	BIDRuneWP_Main_CallVritra02	2	20	231098	1	150.03	145.5	125.2
284675	BIDRuneWP_Main_CallVritra02	3	20	233288	1	150.03	145.5	125.2
284675	BIDRuneWP_Main_CallVritra02	4	50	233289	1	150.03	145.5	125.2
284675	BIDRuneWP_Main_CallVritra02	5	10	233292	1	150.03	145.5	125.2
284675	BIDRuneWP_Main_CallVritra02	6	10	233294	1	150.03	145.5	125.2
284675	BIDRuneWP_Main_CallVritra02	7	10	233295	1	150.03	145.5	125.2
284675	BIDRuneWP_Main_CallVritra02	8	10	233296	1	150.03	145.5	125.2
284675	BIDRuneWP_Main_CallVritra02	9	100	233293	1	150.03	145.5	125.2
284676	BIDRuneWP_Main_CallVritra04	0	20	231097	1	150.03	145.5	125.2
284676	BIDRuneWP_Main_CallVritra04	1	20	231096	1	150.03	145.5	125.2
284676	BIDRuneWP_Main_CallVritra04	2	20	231098	1	150.03	145.5	125.2
284676	BIDRuneWP_Main_CallVritra04	3	20	233288	1	150.03	145.5	125.2
284676	BIDRuneWP_Main_CallVritra04	4	50	233289	1	150.03	145.5	125.2
284676	BIDRuneWP_Main_CallVritra04	5	10	233292	1	150.03	145.5	125.2
284676	BIDRuneWP_Main_CallVritra04	6	10	233294	1	150.03	145.5	125.2
284676	BIDRuneWP_Main_CallVritra04	7	10	233295	1	150.03	145.5	125.2
284676	BIDRuneWP_Main_CallVritra04	8	10	233296	1	150.03	145.5	125.2
284676	BIDRuneWP_Main_CallVritra04	9	100	233293	1	150.03	145.5	125.2
284677	BIDRuneWP_Main_CallVritra06	0	100	231096	1	150.03	145.5	125.2
284677	BIDRuneWP_Main_CallVritra06	0	100	233294	1	150.03	145.5	125.2
284677	BIDRuneWP_Main_CallVritra06	0	100	233296	1	150.03	140.5	125.2
284678	BIDRuneWP_Main_CallVritra10	0	100	231096	1	150.03	145.5	125.2
284678	BIDRuneWP_Main_CallVritra10	0	100	233294	1	150.03	145.5	125.2
284678	BIDRuneWP_Main_CallVritra10	0	100	233295	1	150.03	140.5	125.2
284679	BIDRuneWP_Main_CallVritra02B	0	20	231100	1	108.07	128.86	124.76
284679	BIDRuneWP_Main_CallVritra02B	1	20	231099	1	108.07	128.86	124.76
284679	BIDRuneWP_Main_CallVritra02B	2	20	231101	1	108.07	128.86	124.76
284679	BIDRuneWP_Main_CallVritra02B	3	20	233290	1	108.07	128.86	124.76
284679	BIDRuneWP_Main_CallVritra02B	4	50	233291	1	108.07	128.86	124.76
284679	BIDRuneWP_Main_CallVritra02B	5	10	233297	1	108.07	128.86	124.76
284679	BIDRuneWP_Main_CallVritra02B	6	10	233299	1	108.07	128.86	124.76
284679	BIDRuneWP_Main_CallVritra02B	7	10	233300	1	108.07	128.86	124.76
284679	BIDRuneWP_Main_CallVritra02B	8	10	233301	1	108.07	128.86	124.76
284679	BIDRuneWP_Main_CallVritra02B	9	100	233298	1	108.07	128.86	124.76
284680	BIDRuneWP_Main_CallVritra04B	0	20	231100	1	108.07	128.86	124.76
284680	BIDRuneWP_Main_CallVritra04B	1	20	231099	1	108.07	128.86	124.76
284680	BIDRuneWP_Main_CallVritra04B	2	20	231101	1	108.07	128.86	124.76
284680	BIDRuneWP_Main_CallVritra04B	3	20	233290	1	108.07	128.86	124.76
284680	BIDRuneWP_Main_CallVritra04B	4	50	233291	1	108.07	128.86	124.76
284680	BIDRuneWP_Main_CallVritra04B	5	10	233297	1	108.07	128.86	124.76
284680	BIDRuneWP_Main_CallVritra04B	6	10	233299	1	108.07	128.86	124.76
284680	BIDRuneWP_Main_CallVritra04B	7	10	233300	1	108.07	128.86	124.76
284680	BIDRuneWP_Main_CallVritra04B	8	10	233301	1	108.07	128.86	124.76
284680	BIDRuneWP_Main_CallVritra04B	9	100	233298	1	108.07	128.86	124.76
284681	BIDRuneWP_Main_CallVritra06B	0	100	231099	1	108.07	128.86	124.76
284681	BIDRuneWP_Main_CallVritra06B	0	100	233299	1	108.07	128.86	124.76
284681	BIDRuneWP_Main_CallVritra06B	0	100	233301	1	108.07	128.86	124.76
284682	BIDRuneWP_Main_CallVritra10B	0	100	231099	1	108.07	128.86	124.76
284682	BIDRuneWP_Main_CallVritra10B	0	100	233299	1	108.07	128.86	124.76
284682	BIDRuneWP_Main_CallVritra10B	0	100	233300	1	108.07	128.86	124.76
