npc	pattern	handler	branch	priority	guards	order	kind	a1	a2	a3	place	x	y	z
205433	IDArena_S10_MC_End	on_wake_up	0	7		0	say	342684	0	0		0.0	0.0	0.0
205433	IDArena_S10_MC_End	on_wake_up	0	7		1	say	342685	0	0		0.0	0.0	0.0
205654	IDArena_Solo_RoundNPC_1	on_wake_up	0	7		0	var	1	0	0	Condition_S2A	0.0	0.0	0.0
205654	IDArena_Solo_RoundNPC_1	on_wake_up	0	7		1	despawn_self	0	0	0		0.0	0.0	0.0
205655	IDArena_Solo_RoundNPC_2	on_wake_up	0	7		0	var	1	0	0	Condition_S2B	0.0	0.0	0.0
205655	IDArena_Solo_RoundNPC_2	on_wake_up	0	7		1	despawn_self	0	0	0		0.0	0.0	0.0
205658	IDArena_Solo_RoundNPC_5	on_wake_up	0	7		0	var	1	0	0	Condition_S3A	0.0	0.0	0.0
205658	IDArena_Solo_RoundNPC_5	on_wake_up	0	7		1	despawn_self	0	0	0		0.0	0.0	0.0
205659	IDArena_Solo_RoundNPC_6	on_wake_up	0	7		0	var	1	0	0	Condition_S3B	0.0	0.0	0.0
205659	IDArena_Solo_RoundNPC_6	on_wake_up	0	7		1	despawn_self	0	0	0		0.0	0.0	0.0
205662	IDArena_Solo_RoundNPC_9	on_wake_up	0	7		0	sysmsg	1401068	0	0		0.0	0.0	0.0
205662	IDArena_Solo_RoundNPC_9	on_wake_up	0	7		1	despawn_self	0	0	0		0.0	0.0	0.0
205690	IDArena_Solo_InviNPC_2	on_wake_up	0	10		0	broadcast	9999	50	0		0.0	0.0	0.0
205691	IDArena_Solo_InviNPC_3	on_wake_up	0	7		0	broadcast	3001	50	0		0.0	0.0	0.0
205691	IDArena_Solo_InviNPC_3	on_wake_up	0	7		1	despawn_self	0	0	0		0.0	0.0	0.0
205693	IDArena_Solo_InviNPC_5	on_wake_up	0	100		0	broadcast	100014	50	0		0.0	0.0	0.0
205693	IDArena_Solo_InviNPC_5	on_wake_up	0	100		1	var	1	0	0	STAGE2_OVER	0.0	0.0	0.0
205693	IDArena_Solo_InviNPC_5	on_wake_up	0	100		2	despawn_self	0	0	0		0.0	0.0	0.0
205694	IDArena_Solo_InviNPC_6	on_wake_up	0	100		0	sysmsg	1401071	0	0		0.0	0.0	0.0
205694	IDArena_Solo_InviNPC_6	on_wake_up	0	100		1	broadcast	100013	50	0		0.0	0.0	0.0
205694	IDArena_Solo_InviNPC_6	on_wake_up	0	100		2	broadcast	100012	50	0		0.0	0.0	0.0
205694	IDArena_Solo_InviNPC_6	on_wake_up	0	100		3	var	1	0	0	STAGE2_OVER	0.0	0.0	0.0
205694	IDArena_Solo_InviNPC_6	on_wake_up	0	100		4	despawn_self	0	0	0		0.0	0.0	0.0
205973	IDYun_Temp_60	on_idle_timer	0	5	set_flag_var:0	0	say	390569	0	0		0.0	0.0	0.0
205973	IDYun_Temp_60	on_idle_timer	0	5	set_flag_var:0	1	timer	3000	0	0		0.0	0.0	0.0
205973	IDYun_Temp_60	on_idle_timer	1	4	set_flag_var:1	0	say	390570	0	0		0.0	0.0	0.0
205973	IDYun_Temp_60	on_idle_timer	1	4	set_flag_var:1	1	timer	40000	0	0		0.0	0.0	0.0
205973	IDYun_Temp_60	on_idle_timer	2	1	unset_flag_var:0|unset_flag_var:1	0	timer	3000	0	0		0.0	0.0	0.0
205973	IDYun_Temp_60	on_wake_up	0	6		0	timer	5000	0	0		0.0	0.0	0.0
206200	IDRaksha_SensoryArea_06	on_wake_up	0	7		0	broadcast	12101	100	0		0.0	0.0	0.0
206200	IDRaksha_SensoryArea_06	on_wake_up	0	7		1	sysmsg	1401162	0	0		0.0	0.0	0.0
206295	BIDF5_R2_Invdis01	on_idle_timer	0	2		0	broadcast	22100	18	0		0.0	0.0	0.0
206295	BIDF5_R2_Invdis01	on_wake_up	0	1		0	timer	10000	0	0		0.0	0.0	0.0
