npc	pattern	order	name	set	modify	vanishes
205432	IDArena_S10_MC_Start	0	STAGE	9	0	FALSE
207011	Test_NPC_Jun01	0	5011_L	1	0	FALSE
207012	Test_NPC_Jun02	0	5011_L	-1	0	FALSE
207012	Test_NPC_Jun02	1	5011_D	-1	0	FALSE
216846	DF4_WindBox1	0	DF4_D_WINDBOX_ON	2	0	FALSE
231598	LF2_1_KillerCtrl	0	LF2_1_Killer	1	0	FALSE
231599	LF2_2_KillerCtrl	0	LF2_2_Killer	1	0	FALSE
231600	DF2_1_KillerCtrl	0	DF2_1_Killer	1	0	FALSE
231601	DF2_2_KillerCtrl	0	DF2_2_Killer	1	0	FALSE
231602	LF3_1_KillerCtrl	0	LF3_1_Killer	1	0	FALSE
231603	LF3_2_KillerCtrl	0	LF3_2_Killer	1	0	FALSE
231604	DF3_1_KillerCtrl	0	DF3_1_Killer	1	0	FALSE
231605	DF3_2_KillerCtrl	0	DF3_2_Killer	1	0	FALSE
231867	LDF5_Village_KillerCtrl01_L	0	v01ctrl	2	0	FALSE
231868	LDF5_Village_KillerCtrl01_D	0	v01ctrl	3	0	FALSE
231869	LDF5_Village_KillerCtrl01_DR	0	v01ctrl	1	0	FALSE
231870	LDF5_Village_KillerCtrl02_L	0	v02ctrl	2	0	FALSE
231871	LDF5_Village_KillerCtrl02_D	0	v02ctrl	3	0	FALSE
231872	LDF5_Village_KillerCtrl02_DR	0	v02ctrl	1	0	FALSE
231873	LDF5_Village_KillerCtrl03_L	0	v03ctrl	2	0	FALSE
231874	LDF5_Village_KillerCtrl03_D	0	v03ctrl	3	0	FALSE
231875	LDF5_Village_KillerCtrl03_DR	0	v03ctrl	1	0	FALSE
231876	LDF5_Village_KillerCtrl04_L	0	v04ctrl	2	0	FALSE
231877	LDF5_Village_KillerCtrl04_D	0	v04ctrl	3	0	FALSE
231878	LDF5_Village_KillerCtrl04_DR	0	v04ctrl	1	0	FALSE
